Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет,question,answer,snippet
"Что делать, если сосед построил дом слишком близко к моему участку, нарушая нормы?","В соответствии со статьей 54 Градостроительного кодекса Российской Федерации, в случае выявления нарушения строительных норм, следует обратиться в органы государственного строительного надзора.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,214938.0,215240.0,"Статья 54. Государственный строительный надзор
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 54 
Градостроительного кодекса РФ
1. Государственный строительный надзор осуществляется:","Что делать, если сосед построил дом слишком близко к моему участку, нарушая нормы?","В соответствии со статьей 54 Градостроительного кодекса Российской Федерации, в случае выявления нарушения строительных норм, следует обратиться в органы государственного строительного надзора.","Статья 54. Государственный строительный надзор
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 54 
Градостроительного кодекса РФ
1. Государственный строительный надзор осуществляется:"
Могу ли я построить гараж на своем участке без получения разрешения на строительство?,"Согласно статье 51 Градостроительного кодекса Российской Федерации, необходимость получения разрешения на строительство гаража зависит от его характеристик и назначения. В определенных случаях может потребоваться уведомление о начале строительства.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,185112.0,185722.0,"17. Выдача разрешения на строительство не требуется в случае:
1) строительства, реконструкции гаража на земельном участке, предоставленном физическому
лицу для целей, не связанных с осуществлением предпринимательской деятельности, или
строительства, реконструкции на садовом земельном участке жилого дома, садового дома, 
хозяйственных построек, определенных в соответствии с законодательством в сфере садоводства и
огородничества;",Могу ли я построить гараж на своем участке без получения разрешения на строительство?,"Согласно статье 51 Градостроительного кодекса Российской Федерации, необходимость получения разрешения на строительство гаража зависит от его характеристик и назначения. В определенных случаях может потребоваться уведомление о начале строительства.","17. Выдача разрешения на строительство не требуется в случае:
1) строительства, реконструкции гаража на земельном участке, предоставленном физическому
лицу для целей, не связанных с осуществлением предпринимательской деятельности, или
строительства, реконструкции на садовом земельном участке жилого дома, садового дома, 
хозяйственных построек, определенных в соответствии с законодательством в сфере садоводства и
огородничества;"
"Как узнать, какая зона градостроительного зонирования установлена для моего земельного участка и какие ограничения на строительство действуют?",Информацию о градостроительном зонировании и действующих регламентах можно получить из правил землепользования и застройки муниципального образования в соответствии со статьей 31 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,91957.0,92419.0,"2. Правила землепользования и застройки включают в себя:
1) порядок их применения и внесения изменений в указанные правила;
2) карту градостроительного зонирования;
3) градостроительные регламенты.","Как узнать, какая зона градостроительного зонирования установлена для моего земельного участка и какие ограничения на строительство действуют?",Информацию о градостроительном зонировании и действующих регламентах можно получить из правил землепользования и застройки муниципального образования в соответствии со статьей 31 Градостроительного кодекса Российской Федерации.,"2. Правила землепользования и застройки включают в себя:
1) порядок их применения и внесения изменений в указанные правила;
2) карту градостроительного зонирования;
3) градостроительные регламенты."
Как повлияет на мой земельный участок планируемое строительство дороги рядом с моим домом?,"Информация о планируемом строительстве дорог должна быть отражена в документах территориального планирования и проектах планировки территории, с которыми можно ознакомиться в органах местного самоуправления согласно статьям 9 и 42 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,38166.0,38558.0,"Статья 9. Общие положения о документах территориального планирования
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 9 
Градостроительного кодекса РФ",Как повлияет на мой земельный участок планируемое строительство дороги рядом с моим домом?,"Информация о планируемом строительстве дорог должна быть отражена в документах территориального планирования и проектах планировки территории, с которыми можно ознакомиться в органах местного самоуправления согласно статьям 9 и 42 Градостроительного кодекса Российской Федерации.","Статья 9. Общие положения о документах территориального планирования
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 9 
Градостроительного кодекса РФ"
"Что делать, если я не согласен с проектом планировки территории, который затрагивает мой участок?","В соответствии со статьей 28 Градостроительного кодекса Российской Федерации, граждане имеют право участвовать в публичных слушаниях по проектам планировки территории и выражать свое мнение.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,85337.0,86242.0,"3. Общественные обсуждения или публичные слушания по проектам генеральных планов
поселений, генеральных планов муниципальных округов, генеральных планов городских округов и по
проектам, предусматривающим внесение изменений в генеральные планы поселений, генеральные
планы муниципальных округов, генеральные планы городских округов (далее в настоящей статье - 
общественные обсуждения или публичные слушания), проводятся в каждом населенном пункте
муниципального образования, за исключением случаев, установленных частями 3.1 - 3.3 настоящей
статьи.","Что делать, если я не согласен с проектом планировки территории, который затрагивает мой участок?","В соответствии со статьей 28 Градостроительного кодекса Российской Федерации, граждане имеют право участвовать в публичных слушаниях по проектам планировки территории и выражать свое мнение.","3. Общественные обсуждения или публичные слушания по проектам генеральных планов
поселений, генеральных планов муниципальных округов, генеральных планов городских округов и по
проектам, предусматривающим внесение изменений в генеральные планы поселений, генеральные
планы муниципальных округов, генеральные планы городских округов (далее в настоящей статье - 
общественные обсуждения или публичные слушания), проводятся в каждом населенном пункте
муниципального образования, за исключением случаев, установленных частями 3.1 - 3.3 настоящей
статьи."
Могу ли я изменить вид разрешенного использования своего земельного участка?,Изменение вида разрешенного использования земельного участка регулируется правилами землепользования и застройки и может потребовать проведения публичных слушаний в соответствии со статьей 33 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,98994.0,99364.0,"Статья 33. Порядок внесения изменений в правила землепользования и застройки
ГАРАНТ: В случае, если проекты документов территориального планирования, проекты правил
землепользования и застройки, а также проекты изменений в указанные документы были
подготовлены и рассмотрены на публичных слушаниях до дня вступления в силу Федерального
закона от 3 июля 2016 г. N 373-ФЗ, утверждение таких документов, изменений в такие документы
осуществляется в соответствии с настоящим Кодексом в редакции, действовавшей до дня
вступления в силу названного Федерального закона
См. Энциклопедии, позиции высших судов и другие комментарии к статье 33 Градостроительного
кодекса РФ",Могу ли я изменить вид разрешенного использования своего земельного участка?,Изменение вида разрешенного использования земельного участка регулируется правилами землепользования и застройки и может потребовать проведения публичных слушаний в соответствии со статьей 33 Градостроительного кодекса Российской Федерации.,"Статья 33. Порядок внесения изменений в правила землепользования и застройки
ГАРАНТ: В случае, если проекты документов территориального планирования, проекты правил
землепользования и застройки, а также проекты изменений в указанные документы были
подготовлены и рассмотрены на публичных слушаниях до дня вступления в силу Федерального
закона от 3 июля 2016 г. N 373-ФЗ, утверждение таких документов, изменений в такие документы
осуществляется в соответствии с настоящим Кодексом в редакции, действовавшей до дня
вступления в силу названного Федерального закона
См. Энциклопедии, позиции высших судов и другие комментарии к статье 33 Градостроительного
кодекса РФ"
Как получить разрешение на реконструкцию частного дома?,Порядок получения разрешения на реконструкцию объекта капитального строительства установлен статьей 51 Градостроительного кодекса Российской Федерации и требует предоставления определенного пакета документов.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,171318.0,171739.0,"2. Строительство, реконструкция объектов капитального строительства осуществляются на
основании разрешения на строительство, за исключением случаев, предусмотренных настоящей статьей.",Как получить разрешение на реконструкцию частного дома?,Порядок получения разрешения на реконструкцию объекта капитального строительства установлен статьей 51 Градостроительного кодекса Российской Федерации и требует предоставления определенного пакета документов.,"2. Строительство, реконструкция объектов капитального строительства осуществляются на
основании разрешения на строительство, за исключением случаев, предусмотренных настоящей статьей."
"Как узнать, не находится ли мой земельный участок в зоне с особыми условиями использования территории (например, в водоохранной зоне)?",Информация о зонах с особыми условиями использования территории должна быть отражена в документах градостроительного зонирования и может быть получена в органах местного самоуправления в соответствии со статьей 1 Градостроительного кодекса Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,1800.0,2473.0,"4) зоны с особыми условиями использования территорий - охранные, 
санитарно-защитные зоны, зоны охраны объектов культурного наследия (памятников истории и
культуры) народов Российской Федерации (далее - объекты культурного наследия), защитные зоны
объектов культурного наследия, водоохранные зоны, зоны затопления, подтопления, зоны санитарной
охраны источников питьевого и хозяйственно-бытового водоснабжения, зоны охраняемых объектов, 
приаэродромная территория, иные зоны, устанавливаемые в соответствии с законодательством
Российской Федерации;","Как узнать, не находится ли мой земельный участок в зоне с особыми условиями использования территории (например, в водоохранной зоне)?",Информация о зонах с особыми условиями использования территории должна быть отражена в документах градостроительного зонирования и может быть получена в органах местного самоуправления в соответствии со статьей 1 Градостроительного кодекса Российской Федерации.,"4) зоны с особыми условиями использования территорий - охранные, 
санитарно-защитные зоны, зоны охраны объектов культурного наследия (памятников истории и
культуры) народов Российской Федерации (далее - объекты культурного наследия), защитные зоны
объектов культурного наследия, водоохранные зоны, зоны затопления, подтопления, зоны санитарной
охраны источников питьевого и хозяйственно-бытового водоснабжения, зоны охраняемых объектов, 
приаэродромная территория, иные зоны, устанавливаемые в соответствии с законодательством
Российской Федерации;"
"Что делать, если мне отказывают в выдаче разрешения на строительство?",Отказ в выдаче разрешения на строительство может быть обжалован в судебном порядке в соответствии с законодательством Российской Федерации.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,184022.0,184331.0,"14. Отказ в выдаче разрешения на строительство может быть оспорен застройщиком в судебном
порядке.","Что делать, если мне отказывают в выдаче разрешения на строительство?",Отказ в выдаче разрешения на строительство может быть обжалован в судебном порядке в соответствии с законодательством Российской Федерации.,"14. Отказ в выдаче разрешения на строительство может быть оспорен застройщиком в судебном
порядке."
Как оформить ввод построенного дома в эксплуатацию?,Порядок ввода объекта капитального строительства в эксплуатацию установлен статьей 55 Градостроительного кодекса Российской Федерации и требует предоставления определенного пакета документов и проведения проверки.,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,218346.0,218995.0,"Статья 55. Выдача разрешения на ввод объекта в эксплуатацию
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 55 
Градостроительного кодекса РФ
Информация об изменениях: Часть 1 изменена с 1 сентября 2018 г. - Федеральный закон от 3 
августа 2018 г. N 341-ФЗ
См. предыдущую редакцию
1. Разрешение на ввод объекта в эксплуатацию представляет собой документ, который
удостоверяет выполнение строительства, реконструкции объекта капитального строительства в полном
объеме в соответствии с разрешением на строительство, проектной документацией, а также
соответствие построенного, реконструированного объекта капитального строительства требованиям к
строительству, реконструкции объекта капитального строительства, установленным на дату выдачи",Как оформить ввод построенного дома в эксплуатацию?,Порядок ввода объекта капитального строительства в эксплуатацию установлен статьей 55 Градостроительного кодекса Российской Федерации и требует предоставления определенного пакета документов и проведения проверки.,"Статья 55. Выдача разрешения на ввод объекта в эксплуатацию
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 55 
Градостроительного кодекса РФ
Информация об изменениях: Часть 1 изменена с 1 сентября 2018 г. - Федеральный закон от 3 
августа 2018 г. N 341-ФЗ
См. предыдущую редакцию
1. Разрешение на ввод объекта в эксплуатацию представляет собой документ, который
удостоверяет выполнение строительства, реконструкции объекта капитального строительства в полном
объеме в соответствии с разрешением на строительство, проектной документацией, а также
соответствие построенного, реконструированного объекта капитального строительства требованиям к
строительству, реконструкции объекта капитального строительства, установленным на дату выдачи"
