Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Как правильно подать исковое заявление в суд?,"В соответствии со статьей 131 Гражданского процессуального кодекса Российской Федерации, исковое заявление подается в суд в письменной форме и должно содержать определенные сведения, включая наименование суда, данные истца и ответчика, существо нарушенного права и требования истца.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,80424,81255,"Статья 131. Форма и содержание искового заявления
ГАРАНТ: См. комментарии к статье 131 ГПК РФ
Информация об изменениях: Часть 1 изменена с 1 января 2022 г. - Федеральный закон от 30 
декабря 2021 г. N 440-ФЗ
См. предыдущую редакцию
ГАРАНТ: Положения части 1 (в редакции Федерального закона от 30 декабря 2021 г. N 440-ФЗ) 
применяются при наличии технической возможности в суде
1. Исковое заявление подается в суд на бумажном носителе или в электронном виде, в том числе
в форме электронного документа.
2. В исковом заявлении должны быть указаны:
1) наименование суда, в который подается заявление;
Информация об изменениях: Пункт 2 изменен с 20 июня 2022 г. - Федеральный закон от 21 
декабря 2021 г. N 417-ФЗ
См. предыдущую редакцию
2) сведения о взыскателе: для гражданина-взыскателя - фамилия, имя, отчество (при наличии), 
дата и место рождения, место жительства или место пребывания, один из идентификаторов (страховой
номер индивидуального лицевого счета, идентификационный номер налогоплательщика, серия и номер
документа, удостоверяющего личность, серия и номер водительского удостоверения); для взыскателя, 
являющегося юридическим лицом, - наименование, адрес, идентификационный номер
налогоплательщика;"
"В какой суд следует подавать иск, если ответчик проживает в другом городе?","Согласно статье 28 Гражданского процессуального кодекса Российской Федерации, иск предъявляется в суд по месту жительства ответчика. Для юридических лиц действует правило о подсудности по месту нахождения организации.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,16168,16469,"Статья 28. Предъявление иска по месту жительства или адресу ответчика
ГАРАНТ: См. комментарии к статье 28 ГПК РФ
Иск предъявляется в суд по месту жительства ответчика. Иск к организации предъявляется в суд
по адресу организации."
"Что делать, если я не знаю точного адреса ответчика?","В соответствии со статьей 131 Гражданского процессуального кодекса Российской Федерации, в исковом заявлении необходимо указать известные сведения об ответчике. Суд может оказать содействие в получении недостающих сведений в случаях, предусмотренных законом.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,80424,82245,"Статья 131. Форма и содержание искового заявления
...
3) сведения об ответчике: для гражданина - фамилия, имя, отчество (при наличии), дата и место
рождения, место жительства или место пребывания, место работы (если известно), один из
идентификаторов (страховой номер индивидуального лицевого счета, идентификационный номер
налогоплательщика, серия и номер документа, удостоверяющего личность, основной государственный
регистрационный номер индивидуального предпринимателя, серия и номер водительского
удостоверения); для организации - наименование, адрес, идентификационный номер
налогоплательщика и основной государственный регистрационный номер. В случае, если истцу
неизвестны дата и место рождения ответчика, один из идентификаторов ответчика, об этом
указывается в исковом заявлении и такая информация по запросу суда предоставляется органами
Фонда пенсионного и социального страхования Российской Федерации, и (или) налоговыми
органами, и (или) органами внутренних дел...
Суд вправе указать об этом и такая информация вместе с вышеуказанными сведениями о
должнике, неизвестными взыскателю, предоставляется суду указанными в настоящем пункте органами, 
а также организацией, уполномоченной на предоставление сведений из Единого государственного
реестра недвижимости, в порядке, установленном федеральным законом."
Какие документы необходимо приложить к исковому заявлению?,"Согласно статье 132 Гражданского процессуального кодекса Российской Федерации, к исковому заявлению прилагаются документы, подтверждающие обстоятельства, на которых истец основывает свои требования, копии искового заявления для ответчика и третьих лиц, а также документ об уплате государственной пошлины.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,81995,82875,"Статья 132. Документы, прилагаемые к исковому заявлению
ГАРАНТ: См. комментарии к статье 132 ГПК РФ
К исковому заявлению прилагаются:
1) документ, подтверждающий уплату государственной пошлины в установленных порядке и
размере или право на получение льготы по уплате государственной пошлины, либо ходатайство о
предоставлении отсрочки, рассрочки, об уменьшении размера государственной пошлины или об
освобождении от уплаты государственной пошлины;
2) доверенность или иной документ, удостоверяющие полномочия представителя истца;
...
4) документы, подтверждающие обстоятельства, на которых истец основывает свои требования;
5) расчет взыскиваемой или оспариваемой денежной суммы, подписанный истцом, его
представителем, с копиями в соответствии с количеством ответчиков и третьих лиц;"
Какой размер государственной пошлины необходимо уплатить при подаче иска?,Размер государственной пошлины определяется в соответствии с Налоговым кодексом Российской Федерации в зависимости от характера и цены иска.,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,40318,40482,"2. Размер и порядок уплаты государственной пошлины устанавливаются федеральными
законами о налогах и сборах."
"Что делать, если у меня нет средств для уплаты государственной пошлины?","В соответствии со статьей 89 Гражданского процессуального кодекса Российской Федерации, суд может предоставить отсрочку или рассрочку уплаты государственной пошлины, а также уменьшить ее размер или освободить от ее уплаты при наличии уважительных причин.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,40687,41270,"Статья 89. Льготы по уплате государственной пошлины
ГАРАНТ: См. комментарии к статье 89 ГПК РФ
Льготы по уплате государственной пошлины предоставляются в случаях и порядке, которые
установлены законодательством Российской Федерации о налогах и сборах.
ГАРАНТ: Согласно Определению Конституционного Суда РФ от 13 июня 2006 г. N 272-О
нормативные положения, содержащиеся в статье 89 настоящего Кодекса, не позволяющие судам
общей юрисдикции и мировым судьям принимать по ходатайству физических лиц решения об
освобождении от уплаты государственной пошлины, если иное уменьшение размера государственной
пошлины, предоставление отсрочки (рассрочки) ее уплаты не обеспечивают беспрепятственный
доступ к правосудию, как не соответствующие статьям 19 (части 1 и 2) и 46 (части 1 и 2) 
Конституции РФ утрачивают силу и не могут применяться судами, другими органами и
должностными лицами"
В течение какого срока суд должен принять мое исковое заявление?,"Согласно статье 133 Гражданского процессуального кодекса Российской Федерации, судья обязан принять исковое заявление к производству, если оно подано с соблюдением требований, установленных статьями 131 и 132 настоящего Кодекса.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,83201,83669,"1. Судья в течение пяти дней со дня поступления искового заявления в суд обязан рассмотреть
вопрос о его принятии к производству суда. О принятии заявления к производству суда судья выносит
определение, на основании которого возбуждается гражданское дело в суде первой инстанции."
Что такое определение суда и чем оно отличается от решения суда?,"Определение суда - это судебный акт по вопросам, возникающим в ходе судебного разбирательства и не разрешающим дело по существу (статья 224 Гражданского процессуального кодекса Российской Федерации). Решение суда разрешает дело по существу (статья 194 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,99074,99634,"Статья 224. Порядок вынесения определений суда
ГАРАНТ: См. комментарии к статье 224 ГПК РФ
1. Судебные постановления суда первой инстанции, которыми дело не разрешается по существу, 
выносятся в форме определений суда. Определения суда выносятся в совещательной комнате в порядке, 
предусмотренном частью первой статьи 15 настоящего Кодекса."
"Что делать, если я не могу лично присутствовать на судебном заседании?","В соответствии со статьей 48 Гражданского процессуального кодекса Российской Федерации, граждане вправе вести свои дела в суде лично или через представителя. Представителем может быть лицо, имеющее надлежащим образом оформленную доверенность.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,24913,25157,"Статья 48. Ведение дел в суде через представителей
ГАРАНТ: См. комментарии к статье 48 ГПК РФ
1. Граждане вправе вести свои дела в суде лично или через представителей. Личное участие в
деле гражданина не лишает его права иметь по этому делу представителя."
Как доказать свою правоту в суде?,"Согласно статье 55 Гражданского процессуального кодекса Российской Федерации, доказательствами по делу являются полученные в предусмотренном законом порядке сведения о фактах, на основе которых суд устанавливает наличие или отсутствие обстоятельств, обосновывающих требования и возражения сторон, а также иных обстоятельств, имеющих значение для правильного рассмотрения и разрешения дела.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,28227,28813,"1. Доказательствами по делу являются полученные в предусмотренном законом порядке
сведения о фактах, на основе которых суд устанавливает наличие или отсутствие обстоятельств, 
обосновывающих требования и возражения сторон, а также иных обстоятельств, имеющих значение для
правильного рассмотрения и разрешения дела.
Эти сведения могут быть получены из объяснений сторон и третьих лиц, показаний свидетелей, 
письменных и вещественных доказательств, аудио- и видеозаписей, заключений экспертов."
