Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Какие права имеет собственник квартиры в многоквартирном доме?,"В соответствии со статьей 30 Жилищного кодекса Российской Федерации, собственник жилого помещения вправе владеть, пользоваться и распоряжаться им в соответствии с его назначением и пределами его использования, которые установлены настоящим Кодексом.",Жилищный кодекс РФ.txt,30663.0,30936.0,"1. Собственник жилого помещения осуществляет права владения, пользования и распоряжения принадлежащим ему на праве собственности жилым помещением в соответствии с его назначением и пределами его использования, которые установлены настоящим Кодексом."
Какие обязанности несет собственник квартиры в многоквартирном доме?,"Согласно статье 30 Жилищного кодекса Российской Федерации, собственник жилого помещения обязан поддерживать данное помещение в надлежащем состоянии, нести бремя содержания общего имущества собственников помещений в многоквартирном доме и своевременно уплачивать взносы на капитальный ремонт общего имущества.",Жилищный кодекс РФ.txt,31233.0,31725.0,"3. Собственник жилого помещения несет бремя содержания данного помещения и, если данное помещение является квартирой, общего имущества собственников помещений в соответствующем многоквартирном доме, а собственник комнаты в коммунальной квартире несет также бремя содержания общего имущества собственников комнат в такой квартире, если иное не предусмотрено федеральным законом или договором.; 4. Собственник жилого помещения обязан поддерживать данное помещение в надлежащем состоянии, не допуская бесхозяйственного обращения с ним, соблюдать права и законные интересы соседей, правила пользования жилыми помещениями, а также правила содержания общего имущества собственников помещений в многоквартирном доме."
Что относится к общему имуществу собственников помещений в многоквартирном доме?,"В соответствии со статьей 36 Жилищного кодекса Российской Федерации, к общему имуществу относятся, в частности, межквартирные лестничные площадки, лестницы, лифты, лифтовые и иные шахты, коридоры, технические этажи, чердаки, подвалы, в которых имеются инженерные коммуникации, крыши, ограждающие несущие и ненесущие конструкции дома, механическое, электрическое, санитарно-техническое и иное оборудование, находящееся в многоквартирном доме за пределами или внутри помещений и обслуживающее более одного помещения.",Жилищный кодекс РФ.txt,40516.0,41735.0,"1. Собственникам помещений в многоквартирном доме принадлежит на праве общей долевой собственности общее имущество в многоквартирном доме, а именно:; 1) помещения в данном доме, не являющиеся частями квартир и предназначенные для обслуживания более одного помещения в данном доме, в том числе межквартирные лестничные площадки, лестницы, лифты, лифтовые и иные шахты, коридоры, технические этажи, чердаки, подвалы, в которых имеются инженерные коммуникации, иное обслуживающее более одного помещения в данном доме оборудование (технические подвалы);; 3) крыши, ограждающие несущие и ненесущие конструкции данного дома, механическое, электрическое, санитарно-техническое и другое оборудование (в том числе конструкции и (или) иное оборудование, предназначенные для обеспечения беспрепятственного доступа инвалидов к помещениям в многоквартирном доме), находящееся в данном доме за пределами или внутри помещений и обслуживающее более одного помещения (за исключением сетей связи, необходимых для оказания услуг связи собственникам помещений в многоквартирном доме или нанимателям жилых помещений в многоквартирном доме по договорам социального найма);"
Как начисляются и оплачиваются коммунальные услуги в многоквартирном доме?,"Порядок начисления и оплаты коммунальных услуг регулируется разделом VII Жилищного кодекса Российской Федерации (статьи 153-169) и Правилами предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домов, утвержденными Правительством Российской Федерации.",Жилищный кодекс РФ.txt,121358.0,121485.0,Раздел VII; Предоставление коммунальных услуг. Плата за жилое помещение и коммунальные услуги
"Что делать, если качество предоставляемых коммунальных услуг не соответствует установленным требованиям?","В случае предоставления коммунальных услуг ненадлежащего качества потребитель вправе обратиться1 в управляющую организацию, товарищество собственников жилья либо непосредственно к ресурсоснабжающей организации с требованием об устранении недостатков и перерасчете платы за коммунальные услуги в соответствии со статьей 157 Жилищного кодекса Российской Федерации.",Жилищный кодекс РФ.txt,135165.0,135648.0,"4. При предоставлении коммунальных услуг с перерывами, превышающими установленную продолжительность, и (или) с нарушением качества осуществляется изменение размера платы за коммунальные услуги в порядке, установленном Правительством Российской Федерации.; 5. Изменение размера платы за коммунальные услуги, предусмотренное частью 4 настоящей статьи, осуществляется управляющей организацией, товариществом собственников жилья либо жилищным кооперативом или иным специализированным потребительским кооперативом, а в случаях, предусмотренных статьей 157.2 настоящего Кодекса, ресурсоснабжающей организацией или региональным оператором по обращению с твердыми коммунальными отходами."
Как создается и работает товарищество собственников жилья (ТСЖ)?,"Порядок создания и деятельности ТСЖ регулируется главой 6 Жилищного кодекса Российской Федерации (статьи 135-152). ТСЖ является некоммерческой организацией, объединяющей собственников2 помещений в многоквартирном доме для совместного управления общим имуществом.",Жилищный кодекс РФ.txt,109066.0,110275.0,"1. Товариществом собственников жилья признается вид товариществ собственников недвижимости, представляющий собой объединение собственников помещений в многоквартирном доме для совместного управления общим имуществом в многоквартирном доме либо в случаях, указанных в части 2 статьи 136 настоящего Кодекса, имуществом собственников помещений в нескольких многоквартирных домах или имуществом собственников нескольких жилых домов, обеспечения владения, пользования и в установленных законодательством пределах распоряжения общим имуществом в многоквартирном доме либо совместного использования имущества, принадлежащего собственникам помещений в нескольких многоквартирных домах, или имущества, принадлежащего собственникам нескольких жилых домов, осуществления деятельности по созданию, содержанию, сохранению и приращению такого имущества, предоставления коммунальных услуг лицам, пользующимся в соответствии с настоящим Кодексом помещениями в данных многоквартирных домах или данными жилыми домами, за исключением случаев, предусмотренных статьей 157.2 настоящего Кодекса, а также для осуществления иной деятельности, направленной на достижение целей управления многоквартирными домами либо на совместное использование имущества, принадлежащего собственникам помещений в нескольких многоквартирных домах, или имущества собственников нескольких жилых домов."
Какие вопросы решаются на общем3 собрании собственников помещений в многоквартирном доме?,"Перечень вопросов, относящихся4 к компетенции общего собрания собственников помещений, установлен статьей 44 Жилищного кодекса Российской Федерации, включая вопросы о ремонте общего имущества, выборе способа управления многоквартирным домом, установлении размера взносов на содержание и ремонт.",Жилищный кодекс РФ.txt,45623.0,49581.0,"Статья 44. Общее собрание собственников помещений в многоквартирном доме; 1. Общее собрание собственников помещений в многоквартирном доме является органом управления многоквартирным домом. Общее собрание собственников помещений в многоквартирном доме проводится в целях управления многоквартирным домом путем обсуждения вопросов повестки дня и принятия решений по вопросам, поставленным на голосование.; 2. К компетенции общего собрания собственников помещений в многоквартирном доме относятся:; 1) принятие решений о реконструкции многоквартирного дома (в том числе с его расширением или надстройкой), строительстве хозяйственных построек и других зданий, строений, сооружений, капитальном ремонте общего имущества в многоквартирном доме, об использовании фонда капитального ремонта, о переустройстве и (или) перепланировке помещения, входящего в состав общего имущества в многоквартирном доме; 4) выбор способа управления многоквартирным домом;"
Как проводятся общие собрания собственников помещений в многоквартирном доме?,"Порядок проведения общего собрания собственников5 помещений регулируется статьями 45-48 Жилищного кодекса Российской Федерации, включая требования к уведомлению собственников, кворуму и порядку голосования.",Жилищный кодекс РФ.txt,49641.0,50061.0,"Статья 45. Порядок проведения общего собрания собственников помещений в многоквартирном доме; 1. Собственники помещений в многоквартирном доме обязаны ежегодно проводить годовое общее собрание собственников помещений в многоквартирном доме. Если иное не установлено общим собранием собственников помещений в многоквартирном доме, годовое общее собрание собственников помещений в многоквартирном доме проводится в течение второго квартала года, следующего за отчетным годом, в порядке, установленном настоящей статьей."
"Что делать, если управляющая компания ненадлежащим образом исполняет свои обязанности по управлению многоквартирным домом?","В случае ненадлежащего исполнения управляющей компанией своих обязанностей собственники помещений вправе обратиться в органы государственного жилищного надзора, а также расторгнуть договор управления многоквартирным домом на общем собрании в соответствии со статьей 162 Жилищного кодекса Российской Федерации.",Жилищный кодекс РФ.txt,159102.0,160669.0,"8. Изменение и (или) расторжение договора управления многоквартирным домом осуществляются в порядке, предусмотренном гражданским законодательством.; 8.2. Собственники помещений в многоквартирном доме на основании решения общего собрания собственников помещений в многоквартирном доме в одностороннем порядке вправе отказаться от исполнения договора управления многоквартирным домом не ранее чем через год с даты заключения такого договора, за исключением случаев невыполнения управляющей организацией условий договора управления многоквартирным домом или изменения способа управления многоквартирным домом."
Как формируется фонд капитального ремонта многоквартирного дома и на что расходуются средства?,Порядок формирования фонда капитального ремонта регулируется главой 9 Жилищного кодекса Российской Федерации6 (статьи 170-191). Средства фонда могут расходоваться на проведение капитального ремонта общего имущества в многоквартирном доме.,Жилищный кодекс РФ.txt,172845.0,173710.0,"Статья 170. Фонд капитального ремонта и способы формирования данного фонда; 1. Взносы на капитальный ремонт, уплаченные собственниками помещений в многоквартирном доме, пени, уплаченные собственниками таких помещений в связи с ненадлежащим исполнением ими обязанности по уплате взносов на капитальный ремонт, проценты, начисленные за пользование денежными средствами, находящимися на специальном счете, счете, счетах регионального оператора, на которых осуществляется формирование фондов капитального ремонта, доходы, полученные от размещения средств фонда капитального ремонта, средства финансовой поддержки, предоставленной в соответствии со статьей 191 настоящего Кодекса, средства от реализации региональным оператором закупленных им товаров (материалов и оборудования, в том числе высокотехнологичного оборудования), необходимых для оказания услуг и (или) выполнения работ по капитальному ремонту общего имущества в многоквартирном доме и не использованных на проведение капитального ремонта общего имущества в многоквартирном доме, в случае, предусмотренном частью 7 статьи 167 настоящего Кодекса, а также кредитные и (или) иные заемные средства, привлеченные собственниками помещений в многоквартирном доме на проведение капитального ремонта общего имущества в многоквартирном доме, образуют фонд капитального ремонта."
