Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Какие основные права имеет потребитель согласно законодательству?,"В соответствии со статьей 4 Закона РФ ""О защите прав потребителей"", потребитель имеет право на безопасность товара, работы или услуги, надлежащее качество, получение необходимой и достоверной информации о товаре, работе или услуге, а также на возмещение убытков, причиненных вследствие недостатков товара, работы или услуги.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,2520.0,2923.0,"Настоящий Закон регулирует отношения, возникающие между потребителями и изготовителями, исполнителями, импортерами, продавцами, владельцами агрегаторов информации о товарах (услугах) при продаже товаров (выполнении работ, оказании услуг), устанавливает права потребителей на приобретение товаров (работ, услуг) надлежащего качества и безопасных для жизни, здоровья, имущества потребителей и окружающей среды, получение информации о товарах (работах, услугах) и об их изготовителях (исполнителях, продавцах), о владельцах агрегаторов информации о товарах (услугах), просвещение, государственную и общественную защиту их интересов, а также определяет механизм реализации этих прав."
"Если я купил товар ненадлежащего качества, какие у меня есть варианты действий?","Согласно статье 18 Закона РФ ""О защите прав потребителей"", в случае приобретения товара ненадлежащего качества потребитель вправе потребовать замены на товар надлежащего качества, безвозмездного устранения недостатков товара или соразмерного уменьшения покупной цены. Также возможно отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,19256.0,19954.0,"1. Потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе:
потребовать замены на товар этой же марки (этих же модели и (или) артикула);
потребовать замены на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом покупной цены;
потребовать соразмерного уменьшения покупной цены;
потребовать незамедлительного безвозмездного устранения недостатков товара или возмещения расходов на их исправление потребителем или третьим лицом;
отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы. По требованию продавца и за его счет потребитель должен возвратить товар с недостатками."
"В течение какого срока я могу вернуть товар, если он мне просто не подошел?","В соответствии со статьей 25 Закона РФ ""О защите прав потребителей"", потребитель вправе обменять непродовольственный товар надлежащего качества на аналогичный товар у продавца, у которого этот товар был приобретен, если указанный товар не подошел по форме, габаритам, фасону, расцветке, размеру или комплектации, в течение четырнадцати дней, не считая дня его покупки.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,26910.0,27325.0,"1. Потребитель вправе обменять непродовольственный товар надлежащего качества на аналогичный товар у продавца, у которого этот товар был приобретен, если указанный товар не подошел по форме, габаритам, фасону, расцветке, размеру или комплектации.
Потребитель имеет право на обмен непродовольственного товара надлежащего качества в течение четырнадцати дней, не считая дня его покупки."
"Что делать, если продавец отказывается обменять или вернуть товар ненадлежащего качества?","В соответствии со статьей 18 Закона РФ ""О защите прав потребителей"", в случае отказа продавца удовлетворить законные требования потребителя, последний вправе обратиться с письменной претензией к продавцу, а при неудовлетворении претензии – в уполномоченные государственные органы по защите прав потребителей или в суд.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,19256.0,19954.0,"1. Потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе:
потребовать замены на товар этой же марки (этих же модели и (или) артикула);
потребовать замены на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом покупной цены;
потребовать соразмерного уменьшения покупной цены;
потребовать незамедлительного безвозмездного устранения недостатков товара или возмещения расходов на их исправление потребителем или третьим лицом;
отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы. По требованию продавца и за его счет потребитель должен возвратить товар с недостатками."
Кто несет ответственность за качество товара: продавец или производитель?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", ответственность за качество товара несут как продавец, так и производитель (изготовитель). Потребитель вправе предъявить требования по своему выбору к продавцу или изготовителю.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,20343.0,20531.0,"2. Требования, указанные в пункте 1 настоящей статьи, предъявляются потребителем продавцу либо уполномоченной организации или уполномоченному индивидуальному предпринимателю."
В какой срок должны быть удовлетворены требования потребителя о замене товара ненадлежащего качества?,"Согласно статье 21 Закона РФ ""О защите прав потребителей"", требование потребителя о замене товара ненадлежащего качества подлежит удовлетворению продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) в течение семи дней со дня предъявления указанного1 требования.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,23798.0,24062.0,"1. В случае обнаружения потребителем недостатков товара и предъявления требования о его замене продавец (изготовитель, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер) обязан заменить такой товар в течение семи дней со дня предъявления указанного требования потребителем"
Что такое гарантийный срок на товар?,"В соответствии со статьей 5 Закона РФ ""О защите прав потребителей"", гарантийный срок - это период, в течение которого изготовитель2 (продавец) гарантирует качество товара и обязуется устранить обнаруженные недостатки или заменить товар в случае их выявления.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,6369.0,6734.0,"6. Изготовитель (исполнитель) вправе устанавливать на товар (работу) гарантийный срок - период, в течение которого в случае обнаружения в товаре (работе) недостатка изготовитель (исполнитель), продавец, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер обязаны удовлетворить требования потребителя, установленные статьями 18 и 29 настоящего Закона."
"Если гарантийный срок истек, могу ли я предъявить претензии к продавцу или производителю?","Согласно статье 19 Закона РФ ""О защите прав потребителей"", по истечении гарантийного срока требования к изготовителю (исполнителю, продавцу) в отношении недостатков товара (работы, услуги) могут быть предъявлены в течение установленного срока службы или в течение десяти лет со дня передачи товара (работы, услуги) потребителю, если срок службы не установлен.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,22617.0,22979.0,"5. В случаях, когда предусмотренный договором гарантийный срок составляет менее двух лет и недостатки товара обнаружены потребителем по истечении гарантийного срока, но в пределах двух лет, потребитель вправе предъявить продавцу (изготовителю) требования, предусмотренные статьей 18 настоящего Закона, если докажет, что недостатки товара возникли до его передачи потребителю или по причинам, возникшим до этого момента."
Какую информацию о товаре обязан предоставить мне продавец перед покупкой?,"В соответствии со статьей 10 Закона РФ ""О защите прав потребителей"", продавец обязан предоставить потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,10784.0,10953.0,"1. Изготовитель (исполнитель, продавец) обязан своевременно предоставлять потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора."
"Что делать, если мне продали товар без предоставления полной информации о нем?","Согласно статье 12 Закона РФ ""О защите прав потребителей"", если потребителю не предоставлена возможность3 незамедлительно получить4 при заключении договора информацию о товаре (работе, услуге), он вправе потребовать от продавца (исполнителя) возмещения убытков.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,12666.0,12998.0,"1. Если потребителю не предоставлена возможность незамедлительно получить при заключении договора информацию о товаре (работе, услуге), он вправе потребовать от продавца (исполнителя) возмещения убытков, причиненных необоснованным уклонением от заключения договора, а если договор заключен, в разумный срок отказаться от его исполнения и потребовать возврата уплаченной за товар суммы и возмещения других убытков."
