Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
"Мне постоянно показывают рекламу по телевизору, которая кажется мне неправдивой. Куда я могу пожаловаться?","В соответствии с частью 1 статьи 3 Федерального закона ""О рекламе"", недобросовестная реклама не допускается. Если вы считаете рекламу недобросовестной, вы можете обратиться с жалобой в Федеральную антимонопольную службу (ФАС России), которая уполномочена контролировать соблюдение законодательства о рекламе (статья 33 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2038.0,2118.0,"4) ненадлежащая реклама - реклама, не соответствующая требованиям законодательства
Российской Федерации;"
"Я видел рекламу лекарства, которое обещает мгновенное излечение от всех болезней. Законно ли это?","Нет, такая реклама незаконна. Часть 7 статьи 24 Федерального закона ""О рекламе"" запрещает рекламу лекарственных средств, медицинских изделий и медицинских услуг, методов профилактики, диагностики, лечения и медицинской реабилитации, которая содержит, в частности, гарантию положительного лечебного эффекта, свойства и характеристики, не соответствующие действительности.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,36002.0,36369.0,"7. Реклама лекарственных препаратов, медицинских услуг, в том числе методов профилактики,
диагностики, лечения и медицинской реабилитации, медицинских изделий должна сопровождаться
предупреждением о наличии противопоказаний к их применению и использованию, необходимости
ознакомления с инструкцией по применению или получения консультации специалистов. В рекламе,
распространяемой в радиопрограммах, продолжительность такого предупреждения должна составлять
не менее чем три секунды, в рекламе, распространяемой в телепрограммах и при кино- и
видеообслуживании, - не менее чем пять секунд и должно быть отведено не менее чем семь процентов
площади кадра, а в рекламе, распространяемой другими способами, - не менее чем пять процентов
рекламной площади (рекламного пространства)."
Могут ли показывать рекламу алкоголя по телевизору в любое время суток?,"Нет, реклама алкогольной продукции на телевидении и радио запрещена, за исключением определенных случаев, таких как спонсорство спортивных трансляций (с соблюдением определенных условий) и размещение в местах продажи алкогольной продукции (статья 21 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,32581.0,32785.0,"3) в телепрограммах и радиопрограммах (за исключением случаев, предусмотренных частями 7
и 8 настоящей статьи), при кино- и видеообслуживании;
Информация об изменениях: Федеральным законом от 18 июля 2011 г. № 218-ФЗ"
Я часто вижу рекламу табачных изделий. Разве это разрешено?,"Реклама табачных изделий и никотинсодержащей продукции запрещена практически во всех формах, включая телевидение, радио, печатные издания и интернет (статья 23 Федерального закона ""О рекламе""). Существуют некоторые исключения, например, размещение информации в местах продажи.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,6063.0,6610.0,"Статья 23. Реклама табака, табачной продукции, табачных изделий, никотинсодержащей
продукции, курительных принадлежностей, в том числе трубок, сигаретной бумаги, зажигалок,
а также устройств для потребления никотинсодержащей продукции, кальянов
Информация об изменениях:
Федеральным законом от 25 ноября 2013 г. N 317-ФЗ в наименование статьи 23
настоящего Федерального закона внесены изменения, вступающие в силу с 1 января 2014 г.
См. текст наименования в предыдущей редакции
1. Реклама табака, табачной продукции, табачных изделий, никотинсодержащей продукции,
курительных принадлежностей, в том числе трубок, сигаретной бумаги, зажигалок, а также устройств
для потребления никотинсодержащей продукции, кальянов не допускается.
2. Реклама табака, табачной продукции, табачных изделий, никотинсодержащей продукции,
курительных принадлежностей, в том числе трубок, сигаретной бумаги, зажигалок, а также устройств
для потребления никотинсодержащей продукции, кальянов не должна:"
Мне пришло рекламное SMS-сообщение без моего согласия. Это законно?,"Нет, распространение рекламы по сетям электросвязи, включая SMS-рассылки, допускается только при условии предварительного согласия абонента или адресата (часть 1 статьи 18 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,20747.0,20988.0,"1. Распространение рекламы по сетям электросвязи, в том числе посредством использования
телефонной, факсимильной, подвижной радиотелефонной связи, допускается только при условии
предварительного согласия абонента или адресата на получение рекламы."
"В интернете я увидел рекламу, которая вводит меня в заблуждение относительно свойств товара. Что делать?","В соответствии с частью 2 статьи 3 Федерального закона ""О рекламе"", недостоверная реклама не допускается. Недостоверной1 признается реклама, которая содержит не соответствующие действительности сведения о товаре, условиях его приобретения и т.д. Вы можете обратиться с жалобой в ФАС России.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2279.0,2424.0,"3. Недостоверной признается реклама, которая содержит не соответствующие действительности
сведения:
1) о преимуществах рекламируемого товара перед"
Могут ли показывать рекламу фастфуда во время детских передач?,"Реклама продуктов, не рекомендуемых для питания детей в возрасте до 16 лет, не должна размещаться в детских теле- и радиопередачах, а также в печатных изданиях, предназначенных преимущественно для детей (часть 6 статьи 25 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,37422.0,37723.0,"6. Реклама продуктов детского питания не должна представлять их в качестве полноценных
заменителей женского молока, а также содержать утверждение о преимуществах искусственного
вскармливания детей. Реклама продуктов, предназначенных для использования в качестве
заменителей женского молока, и продуктов, включенных в рацион ребенка в течение его первого года
жизни, должна содержать сведения о возрастных ограничениях применения таких продуктов и
предупреждение о необходимости консультаций специалистов."
"Я увидел на улице рекламный щит, который закрывает дорожный знак. Это нарушение?","Да, размещение рекламных конструкций не должно создавать помех для движения пешеходов и транспортных средств, в том числе путем ограничения видимости дорожных знаков или светофоров (часть 2 статьи 19 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,26733.0,26874.0,"3) иметь сходство с дорожными знаками или иным образом угрожать безопасности движения
автомобильного, железнодорожного, водного, воздушного транспорта;"
"В почтовом ящике я нашел много рекламных листовок, которые мне не нужны. Могу ли я как-то это остановить?","Федеральный закон ""О рекламе"" напрямую не регулирует распространение печатной рекламы по почтовым ящикам. Однако вы можете обратиться к распространителям с просьбой исключить ваш адрес из списка рассылки. Если вы считаете такую рекламу навязчивой, вы можете обратиться в ФАС России с соответствующей информацией.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,21469.0,21666.0,"2. Реклама в периодических печатных изданиях, не специализирующихся на сообщениях и
материалах рекламного характера, должна сопровождаться пометкой реклама"" или пометкой ""на"
"правах рекламы"".""",,,,,
