Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Обязательно ли заключать трудовой договор в письменной форме?,"Да, трудовой договор заключается в письменной форме (статья 67 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,44954,45403,"Статья 67. Форма трудового договора
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 67 ТК РФ
Трудовой договор заключается в письменной форме, составляется в двух экземплярах, каждый
из которых подписывается сторонами. Один экземпляр трудового договора передается работнику, 
другой хранится у работодателя. Получение работником экземпляра трудового договора должно
подтверждаться подписью работника на экземпляре трудового договора, хранящемся у работодателя."
Какие обязательные сведения должны быть указаны в моем трудовом договоре?,"В трудовом договоре обязательно указываются: фамилия, имя, отчество работника и наименование работодателя; сведения о документах, удостоверяющих личность работника и работодателя; ИНН работодателя; место работы; трудовая функция; дата начала работы; условия оплаты труда; режим рабочего времени и времени отдыха; гарантии и компенсации за работу с вредными и (или) опасными условиями труда (если есть); условия, определяющие в необходимых случаях характер работы (подвижной, разъездной, в пути, другой); условия труда на рабочем месте; условие об обязательном социальном страховании работника (статья 57 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,36464,37796,"Статья 57. Содержание трудового договора
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 57 ТК РФ
В трудовом договоре указываются:
фамилия, имя, отчество работника и наименование работодателя (фамилия, имя, отчество
работодателя - физического лица), заключивших трудовой договор;
сведения о документах, удостоверяющих личность работника и работодателя - физического
лица;
идентификационный номер налогоплательщика (для работодателей, за исключением
работодателей - физических лиц, не являющихся индивидуальными предпринимателями);
сведения о представителе работодателя, подписавшем трудовой договор, и основание, в силу
которого он наделен соответствующими полномочиями;
место и дата заключения трудового договора.
Обязательными для включения в трудовой договор являются следующие условия:
место работы, а в случае, когда работник принимается для работы в филиале, 
представительстве или ином обособленном структурном подразделении организации, расположенном в
другой местности, - место работы с указанием обособленного структурного подразделения и его
местонахождения;
трудовая функция (работа по должности в соответствии со штатным расписанием, профессии, 
специальности с указанием квалификации; конкретный вид поручаемой работнику работы). Если в
соответствии с настоящим Кодексом, иными федеральными законами с выполнением работ по
определенным должностям, профессиям, специальностям связано предоставление компенсаций и льгот
либо наличие ограничений, то наименование этих должностей, профессий или специальностей и
квалификационные требования к ним должны соответствовать наименованиям и требованиям, 
указанным в квалификационных справочниках, утверждаемых в порядке, устанавливаемом
Правительством Российской Федерации, или соответствующим положениям профессиональных
стандартов;"
Могут ли меня принять на работу без оформления трудового договора?,"Нет, фактическое допущение работника к работе без ведома или поручения работодателя либо уполномоченного им на это лица запрещается. Трудовой договор должен быть оформлен не позднее трех рабочих дней со дня фактического допущения работника к работе (статья 67 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,10078,10301,"Фактическое допущение работника к работе без ведома или поручения работодателя либо его
уполномоченного на это представителя запрещается."
Чем отличается срочный трудовой договор от бессрочного?,"Срочный трудовой договор заключается на определенный срок не более пяти лет, а бессрочный - на неопределенный срок (статья 58 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,38006,38252,"Трудовые договоры могут заключаться:
1) на неопределенный срок;
2) на определенный срок не более пяти лет (срочный трудовой договор), если иной срок не
установлен настоящим Кодексом и иными федеральными законами."
В каких случаях со мной могут заключить срочный трудовой договор?,"Срочный трудовой договор может заключаться, например, для выполнения временных работ, на время отсутствия основного работника, для выполнения сезонных работ и в других случаях, предусмотренных статьей 59 Трудового кодекса РФ.",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,38530,39035,"Срочный трудовой договор заключается:
на время исполнения обязанностей отсутствующего работника, за которым в соответствии с
трудовым законодательством и иными нормативными правовыми актами, содержащими нормы
трудового права, коллективным договором, соглашениями, локальными нормативными актами, 
трудовым договором сохраняется место работы;
на время выполнения временных (до двух месяцев) работ;
для выполнения сезонных работ, когда в силу природных условий работа может производиться
только в течение определенного периода (сезона);"
Что такое испытательный срок и как долго он может длиться?,"Испытательный срок устанавливается при приеме на работу для проверки соответствия работника поручаемой ему работе. Общий срок испытания не может превышать трех месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей - шести месяцев (статья 70 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,46647,47112,"Срок испытания не может превышать трех месяцев, а для руководителей организаций и их
заместителей, главных бухгалтеров и их заместителей, руководителей филиалов, представительств или
иных обособленных структурных подразделений организаций - шести месяцев, если иное не
установлено федеральным законом."
Могут ли мне не платить зарплату во время испытательного срока?,"Нет, оплата труда работника в период испытательного срока должна производиться на общих основаниях (статья 70 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,46472,46646,"В период испытания на работника распространяются положения трудового законодательства и
иных нормативных правовых актов, содержащих нормы трудового права, коллективного договора, 
соглашений, локальных нормативных актов."
"Могут ли меня уволить, если я не пройду испытательный срок?","Да, если работодатель сочтет, что работник не выдержал испытание, он имеет право расторгнуть с ним трудовой договор до истечения срока испытания, предупредив об этом работника в письменной форме не позднее чем за три дня (статья 71 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,47277,47678,"При неудовлетворительном результате испытания работодатель имеет право до истечения срока
испытания расторгнуть трудовой договор с работником, предупредив его об этом в письменной форме
не позднее чем за три дня с указанием причин, послуживших основанием для признания этого
работника не выдержавшим испытание. Решение работодателя работник имеет право обжаловать в суд."
Могут ли изменить условия моего трудового договора без моего согласия?,"Изменение определенных сторонами условий трудового договора допускается только по соглашению сторон, за исключением случаев, предусмотренных Трудовым кодексом РФ (статья 72 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,48100,48432,"Изменение определенных сторонами условий трудового договора, в том числе перевод на
другую работу, допускается только по соглашению сторон трудового договора, за исключением случаев, 
предусмотренных настоящим Кодексом. Соглашение об изменении определенных сторонами условий
трудового договора заключается в письменной форме."
Что такое перевод на другую работу?,"Перевод на другую работу - это постоянное или временное изменение трудовой функции работника и (или) структурного подразделения, в котором работник работает (если структурное подразделение указано в трудовом договоре), при продолжении работы у того же работодателя, а также перевод на работу в другую местность вместе с работодателем (статья 72.1 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,48602,48989,"Перевод на другую работу - постоянное или временное изменение трудовой функции
работника и (или) структурного подразделения, в котором работает работник (если структурное
подразделение было указано в трудовом договоре), при продолжении работы у того же работодателя, а
также перевод на работу в другую местность вместе с работодателем."
Сколько часов в неделю я должен работать по трудовому договору?,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю (статья 91 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,61769,61900,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.
Что такое ненормированный рабочий день?,"Ненормированный рабочий день - это особый режим работы, в соответствии с которым отдельные работники могут по распоряжению работодателя при необходимости эпизодически привлекаться к выполнению своих трудовых функций за пределами установленной для них продолжительности рабочего времени (статья 101 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,66487,66956,"Ненормированный рабочий день - особый режим работы, в соответствии с которым
отдельные работники могут по распоряжению работодателя при необходимости эпизодически
привлекаться к выполнению своих трудовых функций за пределами установленной для них
продолжительности рабочего времени. Перечень должностей работников с ненормированным рабочим
днем устанавливается коллективным договором, соглашениями или локальным нормативным актом, 
принимаемым с учетом мнения представительного органа работников."
Как оплачивается сверхурочная работа?,"Сверхурочная работа оплачивается за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере (статья 152 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,90118,90488,"Сверхурочная работа оплачивается ... за первые два часа работы не менее чем в полуторном
размере, за последующие часы - не менее чем в двойном размере. Конкретные размеры оплаты
сверхурочной работы могут определяться коллективным договором, соглашением, локальным
нормативным актом или трудовым договором."
Положен ли мне перерыв на обед?,"В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается (статья 108 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,69081,69396,"В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и
питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не
включается."
Сколько выходных дней в неделю мне положено?,"При пятидневной рабочей неделе работникам предоставляются два выходных дня в неделю, при шестидневной рабочей неделе - один выходной день (статья 111 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,70387,70633,"Всем работникам предоставляются выходные дни (еженедельный непрерывный отдых). При
пятидневной рабочей неделе работникам предоставляются два выходных дня в неделю, при
шестидневной рабочей неделе - один выходной день."
Что такое ежегодный основной оплачиваемый отпуск и какова его продолжительность?,Ежегодный основной оплачиваемый отпуск предоставляется работникам продолжительностью 28 календарных дней (статья 115 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,72338,72549,"Ежегодный основной оплачиваемый отпуск предоставляется работникам продолжительностью
28 календарных дней."
Могут ли мне заменить отпуск денежной компенсацией?,"Денежной компенсацией может быть заменена только часть ежегодного оплачиваемого отпуска, превышающая 28 календарных дней (статья 126 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,75964,76180,"Часть ежегодного оплачиваемого отпуска, превышающая 28 календарных дней, по письменному
заявлению работника может быть заменена денежной компенсацией, если иное не предусмотрено
настоящим Кодексом."
За сколько дней меня должны предупредить о начале отпуска?,О времени начала отпуска работник должен быть извещен под роспись не позднее чем за две недели до его начала (статья 123 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,75220,75368,"О времени начала отпуска работник должен быть извещен под роспись не позднее чем за две
недели до его начала."
Могут ли меня вызвать из отпуска на работу?,Отзыв работника из отпуска допускается только с его согласия. Неиспользованная в связи с этим часть отпуска должна быть предоставлена по выбору работника в удобное для него время в течение текущего рабочего года или присоединена к отпуску за следующий рабочий год (статья 125 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,75634,75963,"Отзыв работника из отпуска допускается только с его согласия, за исключением случаев, 
предусмотренных настоящим Кодексом. Неиспользованная в связи с этим часть отпуска должна быть
предоставлена по выбору работника в удобное для него время в течение текущего рабочего года или
присоединена к отпуску за следующий рабочий год."
"Положен ли мне дополнительный оплачиваемый отпуск, если у меня вредные условия труда?","Да, работникам, занятым на работах с вредными и (или) опасными условиями труда, предоставляется ежегодный дополнительный оплачиваемый отпуск (статья 117 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,73275,73541,"Ежегодный дополнительный оплачиваемый отпуск предоставляется работникам, условия труда
на рабочих местах которых по результатам специальной оценки условий труда отнесены к вредным
условиям труда 2, 3 или 4 степени либо опасным условиям труда."
Какая минимальная зарплата установлена в России?,Минимальный размер оплаты труда (МРОТ) устанавливается федеральным законом и не может быть ниже величины прожиточного минимума трудоспособного населения (статья 133.1 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,79573,80008,"Минимальный размер оплаты труда устанавливается одновременно на всей территории
Российской Федерации федеральным законом и не может быть ниже величины прожиточного
минимума трудоспособного населения."
Как часто мне должны выплачивать зарплату?,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретные даты выплаты устанавливаются правилами внутреннего трудового распорядка, коллективным договором или трудовым договором (статья 136 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,82940,83296,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретная дата выплаты
заработной платы устанавливается правилами внутреннего трудового распорядка, коллективным
договором или трудовым договором не позднее 15 календарных дней со дня окончания периода, за
который она начислена."
Имеет ли право работодатель задерживать выплату зарплаты?,"Нет, работодатель обязан выплачивать заработную плату в установленные сроки. За задержку выплаты заработной платы работодатель несет ответственность в соответствии с законом (статья 136 и статья 236 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,82940,83296,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретная дата выплаты
заработной платы устанавливается правилами внутреннего трудового распорядка, коллективным
договором или трудовым договором не позднее 15 календарных дней со дня окончания периода, за
который она начислена."
Какие удержания могут производиться из моей заработной платы?,"Удержания из заработной платы работника могут производиться только в случаях, предусмотренных Трудовым кодексом РФ и иными федеральными законами (статья 137 Трудового кодекса РФ). Например, по исполнительным листам, для возмещения ущерба, причиненного работодателю.",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,83538,83794,"Удержания из заработной платы работника производятся только в случаях, предусмотренных
настоящим Кодексом и иными федеральными законами."
Могут ли меня оштрафовать на работе?,"Трудовое законодательство не предусматривает возможности штрафования работников. За совершение дисциплинарного проступка работодатель может применить следующие дисциплинарные взыскания: замечание, выговор, увольнение (статья 192 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,107849,108115,"За совершение дисциплинарного проступка, то есть неисполнение или ненадлежащее
исполнение работником по его вине возложенных на него трудовых обязанностей, работодатель имеет
право применить следующие дисциплинарные взыскания:
1) замечание;
2) выговор;
3) увольнение по соответствующим основаниям."
Как оплачивается работа в выходные и нерабочие праздничные дни?,Работа в выходные и нерабочие праздничные дни оплачивается не менее чем в двойном размере (статья 153 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,90570,90749,"Работа в выходной или нерабочий праздничный день оплачивается не менее чем в двойном
размере:"
Что такое оплата труда за работу в ночное время?,"Каждый час работы в ночное время оплачивается в повышенном размере по сравнению с работой в нормальных условиях (статья 154 Трудового кодекса РФ). Конкретный размер повышения устанавливается коллективным договором, локальным нормативным актом, принимаемым с учетом мнения представительного органа работников, трудовым договором.",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,91131,91387,"Каждый час работы в ночное время оплачивается в повышенном размере по сравнению с
работой в нормальных условиях, но не ниже размеров, установленных трудовым законодательством и
иными нормативными правовыми актами, содержащими нормы трудового права."
Что такое районные коэффициенты и надбавки к заработной плате?,"В районах Крайнего Севера и приравненных к ним местностях, а также в других местностях с особыми климатическими условиями к заработной плате применяются районные коэффициенты и выплачиваются процентные надбавки (статья 148 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,88767,89000,"Оплата труда на работах в местностях с особыми климатическими условиями производится в
порядке и размерах не ниже установленных трудовым законодательством и иными нормативными
правовыми актами, содержащими нормы трудового права."
Обязан ли работодатель индексировать заработную плату?,"Да, работодатель обязан проводить индексацию заработной платы в порядке, установленном коллективным договором, соглашениями, локальными нормативными актами (статья 134 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,81062,81467,"Обеспечение повышения уровня реального содержания заработной платы включает индексацию
заработной платы в связи с ростом потребительских цен на товары и услуги. Государственные органы, 
органы местного самоуправления, государственные и муниципальные учреждения производят
индексацию заработной платы в порядке, установленном трудовым законодательством и иными
нормативными правовыми актами, содержащими нормы трудового права, другие работодатели - в
порядке, установленном коллективным договором, соглашениями, локальными нормативными актами."
Как мне должны оплатить отпуск?,Оплата отпуска производится не позднее чем за три календарных дня до начала отпуска (статья 136 Трудового кодекса РФ).,Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,83502,83537,Оплата отпуска производится не позднее чем за три дня до его начала.
Какие основные обязанности у меня как работника?,"Работник обязан: добросовестно исполнять свои трудовые обязанности; соблюдать правила внутреннего трудового распорядка; соблюдать трудовую дисциплину; выполнять установленные нормы труда; соблюдать требования по охране труда и обеспечению безопасности труда; бережно относиться к имуществу работодателя и других работников; незамедлительно сообщать работодателю либо непосредственному руководителю о возникновении ситуации, представляющей угрозу жизни и здоровью людей, сохранности имущества работодателя (в том числе имущества третьих лиц, находящегося у работодателя, если работодатель несет ответственность за сохранность этого имущества) (статья 21 Трудового кодекса РФ).",Трудовой кодекс Российской Федерации от 30 декабря 2001 г. N 197-ФЗ (ТК РФ) (с изменениями и дополнениями).txt,13020,13858,"Работник обязан:
добросовестно исполнять свои трудовые обязанности, возложенные на него трудовым
договором;
соблюдать правила внутреннего трудового распорядка;
соблюдать трудовую дисциплину;
выполнять установленные нормы труда;
соблюдать требования по охране труда и обеспечению безопасности труда;
бережно относиться к имуществу работодателя (в том числе к имуществу третьих лиц, 
находящемуся у работодателя, если работодатель несет ответственность за сохранность этого
имущества) и других работников;
незамедлительно сообщить работодателю либо непосредственному руководителю о
возникновении ситуации, представляющей угрозу жизни и здоровью людей, сохранности имущества
работодателя (в том числе имущества третьих лиц, находящегося у работодателя, если работодатель
несет ответственность за сохранность этого имущества)."
