Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Сосед постоянно шумит ночью. Могу ли я за это понести уголовную ответственность?,"Нет, само по себе нарушение тишины в ночное время обычно влечет административную ответственность, предусмотренную региональными законами об административных правонарушениях, а не уголовную. Уголовная ответственность может наступить, например, за хулиганство, совершенное с применением насилия или угрозой его применения (статья 213 УК РФ), но это более серьезное правонарушение.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,180453,181114,"Статья 213. Хулиганство
ГАРАНТ: См. комментарии к статье 213 УК РФ
О судебной практике по уголовным делам о хулиганстве и иных преступлениях, совершенных из
хулиганских побуждений см. постановление Пленума Верховного Суда РФ от 15 ноября 2007 г. N 45
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 213 внесены изменения
См. текст части в предыдущей редакции
1. Хулиганство, то есть грубое нарушение общественного порядка, выражающее явное
неуважение к обществу, совершенное:
Информация об изменениях: Пункт ""а"" изменен с 10 января 2021 г. - Федеральный закон от 30 
декабря 2020 г. N 543-ФЗ
См. предыдущую редакцию
а) с применением насилия к гражданам либо угрозой его применения;"
Я нашел на улице чужой кошелек и потратил деньги. Что мне за это будет?,"Если вы нашли чужой кошелек и присвоили себе деньги, не предприняв мер к возвращению владельцу, это может быть квалифицировано как кража (статья 158 УК РФ). Наказание зависит от суммы похищенного и может включать штраф, обязательные работы, исправительные работы или лишение свободы. Если сумма была незначительной, может наступить административная ответственность (статья 7.27 КоАП РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,99824,100469,"Статья 158. Кража
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 158 УК РФ
О судебной практике по делам о краже см. Постановление Пленума Верховного Суда РФ от
27 декабря 2002 г. N 29
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 158 внесены изменения
См. текст части в предыдущей редакции
ГАРАНТ: О конституционно-правовом смысле положений части 1 см. постановление
Конституционного Суда РФ от 12 января 2023 г. N 2-П
1. Кража, то есть тайное хищение чужого имущества, -"
Меня оскорбили на работе. Могу ли я подать в суд на обидчика по уголовной статье?,"Оскорбление как таковое (унижение чести и достоинства другого лица, выраженное в неприличной форме) было декриминализовано и теперь является административным правонарушением (статья 5.61 КоАП РФ). Однако, если оскорбление было совершено публично с использованием средств массовой информации или информационно-телекоммуникационных сетей, включая интернет, ответственность может быть выше. Уголовная ответственность может наступить за клевету, то есть распространение заведомо ложных сведений, порочащих честь и достоинство другого лица или подрывающих его репутацию (статья 128.1 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,74676,75351,"Статья 128.1. Клевета
ГАРАНТ: См. комментарии к статье 128.1 УК РФ
Информация об изменениях: Часть 1 изменена с 10 января 2021 г. - Федеральный закон от 30 
декабря 2020 г. N 538-ФЗ
См. предыдущую редакцию
1. Клевета, то есть распространение заведомо ложных сведений, порочащих честь и достоинство
другого лица или подрывающих его репутацию, -
наказывается штрафом в размере до пятисот тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до шести месяцев либо обязательными работами на срок до ста
шестидесяти часов."
"Мой сосед по даче постоянно жжет мусор, и дым идет на мой участок. Это как-то регулируется уголовным законом?","Само по себе сжигание мусора на своем участке, если это не приводит к серьезным последствиям, не является уголовным преступлением. Однако, если в результате таких действий будет причинен тяжкий вред здоровью человека или окружающей среде, может наступить уголовная ответственность, например, по статье 247 УК РФ (нарушение правил обращения экологически опасных веществ и отходов) или статье 250 УК РФ (загрязнение вод). В большинстве случаев это будет являться административным правонарушением (например, нарушение правил пожарной безопасности).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,223186,224062,"Статья 247. Нарушение правил обращения экологически опасных веществ и отходов
ГАРАНТ: См. комментарии к статье 247 УК РФ
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 247 внесены изменения
См. текст части в предыдущей редакции
1. Производство запрещенных видов опасных отходов, транспортировка, хранение, захоронение, 
использование или иное обращение радиоактивных, бактериологических, химических веществ и
отходов с нарушением установленных правил, если эти деяния создали угрозу причинения
существенного вреда здоровью человека или окружающей среде, -
наказываются штрафом в размере до двухсот тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до восемнадцати месяцев, либо ограничением свободы на срок до
двух лет, либо принудительными работами на срок до двух лет, либо лишением свободы на тот же срок."
Я случайно повредил чужую машину на парковке. Что мне грозит?,"Если вы случайно повредили чужую машину, это может повлечь гражданско-правовую ответственность, то есть обязанность возместить причиненный ущерб (статья 1064 ГК РФ). Уголовная ответственность может наступить, если повреждение было совершено умышленно и повлекло значительный ущерб (статья 167 УК РФ - умышленное уничтожение или повреждение чужого имущества).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,111310,111984,"Статья 167. Умышленные уничтожение или повреждение имущества
ГАРАНТ: См. комментарии к статье 167 УК РФ
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 167 внесены изменения
См. текст части в предыдущей редакции
1. Умышленные уничтожение или повреждение чужого имущества, если эти деяния повлекли
причинение значительного ущерба, -
наказываются штрафом в размере до сорока тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до трех месяцев, либо обязательными работами на срок до трехсот
шестидесяти часов, либо исправительными работами на срок до одного года, либо принудительными
работами на срок до двух лет, либо арестом на срок до трех месяцев, либо лишением свободы на срок до
двух лет."
Могут ли меня посадить в тюрьму за неуплату кредита?,"Сама по себе неуплата кредита не является уголовным преступлением. Однако, если вы получили кредит обманным путем, предоставив заведомо ложные сведения, это может быть квалифицировано как мошенничество в сфере кредитования (статья 159.1 УК РФ), что влечет уголовную ответственность. Также уголовная ответственность может наступить за злостное уклонение от погашения кредиторской задолженности в крупном размере после вступления в законную силу соответствующего судебного акта (статья 177 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,127873,128467,"Статья 177. Злостное уклонение от погашения кредиторской задолженности
ГАРАНТ: См. комментарии к статье 177 УК РФ
Злостное уклонение руководителя организации или гражданина от погашения кредиторской
задолженности в крупном размере или от оплаты ценных бумаг после вступления в законную силу
соответствующего судебного акта -
наказывается штрафом в размере до двухсот тысяч рублей или в размере заработной платы или
иного дохода осужденного за период до восемнадцати месяцев, либо обязательными работами на срок
до четырехсот восьмидесяти часов, либо принудительными работами на срок до двух лет, либо арестом
на срок до шести месяцев, либо лишением свободы на срок до двух лет."
Я нашел банковскую карту и расплатился ею в магазине. Что мне за это будет?,"Использование найденной банковской карты без согласия владельца может быть квалифицировано как кража с банковского счета (пункт ""г"" части 3 статьи 158 УК РФ) или как мошенничество с использованием электронных средств платежа (статья 159.3 УК РФ). Оба преступления влекут уголовную ответственность.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,104408,105037,"Статья 159.3. Мошенничество с использованием электронных средств платежа
ГАРАНТ: См. Энциклопедии, позиции высших судов и другие комментарии к статье 159.3 УК
РФ
Информация об изменениях: Часть 1 изменена с 4 мая 2018 г. - Федеральный закон от 23 апреля
2018 г. N 111-ФЗ
См. предыдущую редакцию
1. Мошенничество с использованием электронных средств платежа -
наказывается штрафом в размере до ста двадцати тысяч рублей или в размере заработной платы
или иного дохода осужденного за период до одного года, либо обязательными работами на срок до
трехсот шестидесяти часов, либо исправительными работами на срок до одного года, либо
ограничением свободы на срок до двух лет, либо принудительными работами на срок до двух лет, либо
лишением свободы на срок до трех лет."
"Могут ли меня наказать, если я купил вещь, зная, что она краденая?","Приобретение или сбыт имущества, заведомо добытого преступным путем, является уголовным преступлением (статья 175 УК РФ). Наказание зависит от тяжести преступления, в результате которого было получено имущество.",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,126569,127190,"Статья 175. Приобретение или сбыт имущества, заведомо добытого преступным путем
ГАРАНТ: См. комментарии к статье 175 УК РФ
О судебной практике по делам о легализации (отмывании) денежных средств или иного имущества, 
приобретенных преступным путем, и о приобретении или сбыте имущества, заведомо добытого
преступным путем, см. постановление Пленума Верховного Суда РФ от 7 июля 2015 г. N 32
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 175 внесены изменения
См. текст части в предыдущей редакции
1. Заранее не обещанные приобретение или сбыт имущества, заведомо добытого преступным
путем, -"
"Что будет, если я ударю человека в драке?","Умышленное причинение легкого вреда здоровью влечет административную ответственность (статья 6.1.1 КоАП РФ). Причинение средней тяжести вреда здоровью (статья 112 УК РФ) или тяжкого вреда здоровью (статья 111 УК РФ) является уголовным преступлением и наказывается лишением свободы. Если драка произошла в состоянии аффекта, наказание может быть менее строгим (статья 113 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,62559,63166,"Статья 112. Умышленное причинение средней тяжести вреда здоровью
ГАРАНТ: См. комментарии к статье 112 УК РФ
Информация об изменениях: Федеральным законом от 7 декабря 2011 г. N 420-ФЗ в часть 1 
статьи 112 внесены изменения
См. текст части в предыдущей редакции
ГАРАНТ: О конституционно-правовом смысле положений части 1 см. постановление
Конституционного Суда РФ от 11 января 2024 г. N 1-П
1. Умышленное причинение средней тяжести вреда здоровью, не опасного для жизни человека и
не повлекшего последствий, указанных в статье 111 настоящего Кодекса, но вызвавшего длительное
расстройство здоровья или значительную стойкую утрату общей трудоспособности менее чем на одну
треть, -"
"Могут ли меня привлечь к ответственности, если я распространяю в интернете чужие фотографии без разрешения?","Распространение в интернете чужих фотографий без согласия изображенного лица может нарушать его право на изображение (статья 152.1 ГК РФ) и повлечь гражданско-правовую ответственность. Уголовная ответственность может наступить за нарушение неприкосновенности частной жизни, незаконное собирание или распространение сведений о частной жизни лица, составляющих его личную или семейную тайну, без его согласия (статья 137 УК РФ).",Уголовный кодекс Российской Федерации от 13 июня 1996 г. N 63-ФЗ (УК РФ) (с изменениями и дополнениями).txt,81433,82116,"Статья 137. Нарушение неприкосновенности частной жизни
ГАРАНТ: См. комментарии к статье 137 УК РФ
О некоторых вопросах судебной практики по делам о преступлениях против конституционных прав и
свобод человека и гражданина см. постановление Пленума Верховного Суда РФ от 25 декабря
2018 г. N 46
Информация об изменениях: Часть 1 изменена с 11 декабря 2024 г. - Федеральный закон от 30 
ноября 2024 г. N 421-ФЗ
См. предыдущую редакцию
ГАРАНТ: О конституционно-правовом смысле положений части 1 см. постановление
Конституционного Суда РФ от 18 января 2024 г. N 2-П
1. Незаконное собирание или распространение сведений о частной жизни лица, составляющих
его личную или семейную тайну, без его согласия либо распространение этих сведений в публичном
выступлении, публично демонстрирующемся произведении или средствах массовой информации, за
исключением случаев, предусмотренных статьей 272.1 настоящего Кодекса, -"
