Вопрос,Ответ
Какая административная ответственность предусмотрена за нарушение тишины и покоя граждан в ночное время?,"Административная ответственность за нарушение тишины и покоя граждан в ночное время устанавливается законами субъектов Российской Федерации об административных правонарушениях (например, статья 3.13 КоАП г. Москвы). Как правило, это влечет предупреждение или наложение административного штрафа на граждан, должностных лиц и юридических лиц.

2."
Какая административная ответственность предусмотрена за курение в запрещенных местах?,"Статья 6.24 КоАП РФ предусматривает административную ответственность за нарушение установленного федеральным законом запрета курения табака, потребления никотинсодержащей продукции, использования кальянов на отдельных территориях, в помещениях и на объектах. Это влечет наложение административного штрафа на граждан.

3."
Какая административная ответственность предусмотрена за безбилетный проезд в общественном транспорте?,"Административная ответственность за безбилетный проезд в общественном транспорте устанавливается законами субъектов Российской Федерации об административных правонарушениях (например, статья 10.1 Закона Санкт-Петербурга от 31 мая 2010 г. N 273-70). Обычно это влечет наложение административного штрафа.

4."
Какая административная ответственность предусмотрена за нарушение правил содержания домашних животных?,"Административная ответственность за нарушение правил содержания домашних животных устанавливается законами субъектов Российской Федерации об административных правонарушениях (например, статья 5.1 Закона Московской области от 4 мая 2016 г. N 60/2016-ОЗ). Как правило, это влечет предупреждение или наложение административного штрафа.

5."
Какая административная ответственность предусмотрена за выбрасывание мусора в неположенном месте?,"Административная ответственность за выбрасывание мусора в неположенном месте устанавливается законами субъектов Российской Федерации об административных правонарушениях (например, статья 8.2 КоАП РФ ""Несоблюдение требований в области охраны окружающей среды при обращении с отходами производства и потребления""). Это может повлечь предупреждение или наложение административного штрафа на граждан, должностных и юридических лиц.

6."
Какая административная ответственность предусмотрена за нарушение правил пожарной безопасности?,"Статья 20.4 КоАП РФ предусматривает административную ответственность за нарушение требований пожарной безопасности. В зависимости от характера нарушения, это может повлечь предупреждение или наложение административного штрафа на граждан, должностных и юридических лиц.

7."
Какая административная ответственность предусмотрена за нарушение санитарно-эпидемиологических требований?,"Статья 6.3 КоАП РФ предусматривает административную ответственность за нарушение законодательства в области обеспечения санитарно-эпидемиологического благополучия населения. Это может повлечь предупреждение или наложение административного штрафа на граждан, должностных и юридических лиц, а также административное приостановление деятельности.

8."
Какая административная ответственность предусмотрена за мелкое хулиганство?,"Статья 20.1 КоАП РФ предусматривает административную ответственность за мелкое хулиганство, то есть нарушение общественного порядка, выражающее явное неуважение к обществу, сопровождающееся нецензурной бранью в общественных местах, оскорбительным приставанием к гражданам, а равно уничтожением или повреждением чужого имущества. Это влечет наложение административного штрафа или административный арест на срок до пятнадцати суток.

9."
Какая административная ответственность предусмотрена за распитие спиртных напитков в запрещенных местах?,"Статья 20.20 КоАП РФ предусматривает административную ответственность за распитие алкогольной продукции в местах, запрещенных федеральным законом. Это влечет наложение административного штрафа.

10."
Какая административная ответственность предусмотрена за появление в общественных местах в состоянии опьянения?,"Статья 20.21 КоАП РФ предусматривает административную ответственность за появление в общественных местах в состоянии опьянения, оскорбляющем человеческое достоинство и общественную нравственность. Это влечет наложение административного штрафа.

11."
Какая административная ответственность предусмотрена за нарушение правил использования земельных участков сельскохозяйственного назначения?,"Статья 8.8 КоАП РФ предусматривает административную ответственность за неиспользование земельного участка из земель сельскохозяйственного назначения по целевому назначению или использование с нарушением установленных требований и (или) ограничений. Это влечет наложение административного штрафа на граждан, должностных и юридических лиц.

12."
Какая административная ответственность предусмотрена за самовольное занятие земельного участка?,"Статья 7.1 КоАП РФ предусматривает административную ответственность за самовольное занятие земельного участка или части земельного участка, в том числе использование земельного участка лицом, не имеющим предусмотренных законодательством Российской Федерации прав на указанный земельный участок. Это влечет наложение административного штрафа на граждан, должностных и юридических лиц.

13."
Какая административная ответственность предусмотрена за нарушение порядка осуществления градостроительной деятельности?,"Статья 9.4 КоАП РФ предусматривает административную ответственность за нарушение требований технических регламентов, проектной документации, обязательных требований к процессам проектирования, строительства, реконструкции, капитального ремонта объектов капитального строительства, за исключением случаев, предусмотренных частями 2, 3 и 3.1 настоящей статьи и статьей 9.5.1 настоящего Кодекса. Это влечет наложение административного штрафа на граждан, должностных и юридических лиц.

14."
Какая административная ответственность предусмотрена за нарушение законодательства о рекламе?,"Статья 14.3 КоАП РФ предусматривает административную ответственность за нарушение рекламодателем, рекламопроизводителем или рекламораспространителем законодательства о рекламе. Это влечет наложение административного штрафа на граждан, должностных и юридических лиц.

15."
