Вопрос,Ответ
Как правильно подать исковое заявление в суд?,"В соответствии со статьей 131 Гражданского процессуального кодекса Российской Федерации, исковое заявление подается в суд в письменной форме и должно содержать определенные сведения, включая наименование суда, данные истца и ответчика, существо нарушенного права и требования истца.
    
2."
"В какой суд следует подавать иск, если ответчик проживает в другом городе?","Согласно статье 28 Гражданского процессуального кодекса Российской Федерации, иск предъявляется в суд по месту жительства ответчика. Для юридических лиц действует правило о подсудности по месту нахождения организации.
    
3."
"Что делать, если я не знаю точного адреса ответчика?","В соответствии со статьей 131 Гражданского процессуального кодекса Российской Федерации, в исковом заявлении необходимо указать известные сведения об ответчике. Суд может оказать содействие в получении недостающих сведений в случаях, предусмотренных законом.
    
4."
Какие документы необходимо приложить к исковому заявлению?,"Согласно статье 132 Гражданского процессуального кодекса Российской Федерации, к исковому заявлению прилагаются документы, подтверждающие обстоятельства, на которых истец основывает свои требования, копии искового заявления для ответчика и третьих лиц, а также документ об уплате государственной пошлины.
    
5."
Какой размер государственной пошлины необходимо уплатить при подаче иска?,"Размер государственной пошлины определяется в соответствии с Налоговым кодексом Российской Федерации в зависимости от характера и цены иска.
    
6."
"Что делать, если у меня нет средств для уплаты государственной пошлины?","В соответствии со статьей 89 Гражданского процессуального кодекса Российской Федерации, суд может предоставить отсрочку или рассрочку уплаты государственной пошлины, а также уменьшить ее размер или освободить от ее уплаты при наличии уважительных причин.
    
7."
В течение какого срока суд должен принять мое исковое заявление?,"Согласно статье 133 Гражданского процессуального кодекса Российской Федерации, судья обязан принять исковое заявление к производству, если оно подано с соблюдением требований, установленных статьями 131 и 132 настоящего Кодекса.
    
8."
Что такое определение суда и чем оно отличается от решения суда?,"Определение суда - это судебный1 акт по вопросам, возникающим в ходе судебного разбирательства и не разрешающим дело по существу (статья 224 Гражданского процессуального кодекса Российской Федерации). Решение суда разрешает дело по существу (статья 194 Гражданского процессуального кодекса Российской Федерации).
    
9."
"Что делать, если я не могу лично присутствовать на судебном заседании?","В соответствии со статьей 48 Гражданского процессуального кодекса Российской Федерации, граждане вправе вести свои дела в суде лично или через представителя. Представителем может быть лицо, имеющее надлежащим образом оформленную доверенность.
    
10."
Как доказать свою правоту в суде?,"Согласно статье 55 Гражданского процессуального кодекса Российской Федерации, доказательствами по делу являются полученные в предусмотренном законом порядке сведения о фактах, на основе которых суд устанавливает наличие или отсутствие обстоятельств, обосновывающих требования и возражения сторон, а также иных обстоятельств, имеющих значение для правильного рассмотрения и разрешения дела.
    
11."
Какие виды доказательств могут быть представлены в суд?,"В качестве доказательств могут быть представлены объяснения сторон и третьих лиц, показания свидетелей, письменные и вещественные доказательства, аудио- и видеозаписи, заключения экспертов (статья 55 Гражданского процессуального кодекса Российской Федерации).
    
12."
"Что делать, если мне необходимы показания свидетеля, который не желает добровольно являться в суд?","В соответствии со статьей 70 Гражданского процессуального кодекса Российской Федерации, суд по ходатайству стороны вправе вызвать свидетеля в судебное заседание.
    
13."
Что такое судебная экспертиза и в каких случаях она назначается?,"Судебная экспертиза назначается судом в случаях, когда для разъяснения возникающих при рассмотрении дела вопросов требуются специальные знания в различных областях науки, техники, искусства, ремесла (статья 79 Гражданского процессуального кодекса2 Российской Федерации).
    
14."
Кто оплачивает расходы на проведение судебной экспертизы?,"Расходы на проведение экспертизы несет сторона, заявившая ходатайство3 о ее назначении, если иное не установлено судом (статья 96 Гражданского процессуального кодекса Российской Федерации).
    
15."
Что такое протокол судебного заседания и для чего он нужен?,"Протокол судебного заседания ведется секретарем судебного заседания4 и отражает ход судебного разбирательства, заявления и ходатайства участников процесса, объяснения сторон, показания свидетелей и заключения экспертов (статья 229 Гражданского процессуального кодекса Российской Федерации).
    
16."
"Что делать, если я не согласен с решением суда первой инстанции?","В соответствии со статьей 321 Гражданского процессуального кодекса Российской Федерации, решение суда первой инстанции может быть обжаловано в апелляционном порядке в вышестоящий суд в течение одного месяца со дня принятия решения суда в окончательной форме.
    
17."
В какой срок рассматривается апелляционная жалоба?,"Сроки рассмотрения апелляционной жалобы установлены статьей 327.2 Гражданского процессуального кодекса Российской Федерации и составляют, как правило, два месяца со дня поступления дела в суд апелляционной инстанции.
    
18."
"Что делать, если я не согласен с решением суда апелляционной инстанции?","Решение суда апелляционной инстанции может быть обжаловано в кассационном порядке в суд кассационной инстанции в течение трех месяцев со дня его вынесения (статья 376 Гражданского процессуального кодекса Российской Федерации).
    
19."
Что такое надзорная жалоба и в какой суд она подается?,"Надзорная жалоба подается в Президиум Верховного Суда Российской Федерации на вступившие в законную силу судебные постановления в порядке, установленном главой 41 Гражданского процессуального кодекса Российской Федерации.
    
20."
В течение какого срока можно подать надзорную жалобу?,"Надзорная жалоба может быть подана в течение трех месяцев со дня вступления в законную силу обжалуемого судебного постановления (статья 390.3 Гражданского процессуального кодекса Российской Федерации).
    
21."
"Что делать, если решение суда вступило в законную силу, но ответчик его не исполняет?","В случае неисполнения решения суда в добровольном порядке необходимо обратиться в службу судебных приставов с заявлением о принудительном исполнении решения суда (статья 428 Гражданского процессуального кодекса Российской Федерации).
    
22."
Какой срок установлен для предъявления исполнительного листа к исполнению?,"Исполнительный лист может быть предъявлен к исполнению в течение трех лет со дня вступления судебного решения в законную силу (статья 432 Гражданского процессуального кодекса Российской Федерации).
    
23."
Какие меры принудительного исполнения могут быть применены к должнику?,"К мерам принудительного исполнения относятся, в частности, обращение взыскания на имущество должника, включая денежные средства, заработную плату и иные доходы, а также иные меры, предусмотренные Федеральным законом ""Об исполнительном производстве"" (статья 68 Федерального закона от 2 октября 2007 г. N 229-ФЗ).
    
24."
"Что делать, если я не согласен с действиями судебного пристава-исполнителя?","Действия (бездействие) судебного пристава-исполнителя могут быть обжалованы в порядке, установленном главой 18 Федерального закона ""Об исполнительном производстве"" (статья 441 Гражданского процессуального кодекса Российской Федерации).
    
25."
Что такое заочное решение суда и в каком порядке оно выносится?,"Заочное решение выносится в случае неявки в судебное заседание ответчика, извещенного о времени и месте судебного заседания, не сообщившего суду об уважительных причинах неявки и не просившего о рассмотрении дела в его отсутствие (статья 233 Гражданского процессуального кодекса Российской Федерации).
    
26."
В течение какого срока ответчик может подать заявление об отмене заочного решения суда?,"Заявление об отмене заочного решения суда может быть подано ответчиком в течение семи дней со дня вручения ему копии этого решения (статья 237 Гражданского процессуального кодекса Российской Федерации).
    
27."
Что такое приказное производство и в каких случаях оно применяется?,"Приказное производство - это упрощенный порядок рассмотрения дел, по которым требования заявителя являются бесспорными и основаны на представленных документах (статья 121 Гражданского процессуального кодекса Российской Федерации).
    
28."
В течение какого срока должник может представить возражения относительно судебного приказа?,"Должник вправе представить свои возражения относительно исполнения судебного приказа в течение десяти дней со дня получения копии судебного приказа (статья 128 Гражданского процессуального кодекса Российской Федерации).
    

29."
Что такое мировое соглашение и на какой стадии судебного процесса его можно6 заключить?,"Мировое соглашение - это соглашение сторон о прекращении спора на взаимоприемлемых условиях. Мировое соглашение может быть заключено на любой стадии гражданского процесса (статья 39 Гражданского процессуального кодекса Российской Федерации).

30."
Каковы последствия утверждения судом мирового соглашения?,"Утвержденное судом мировое соглашение имеет силу судебного решения и подлежит принудительному исполнению в случае его неисполнения (статья 220 Гражданского процессуального кодекса Российской Федерации).
    
31."
Что такое обеспечительные меры и в каких случаях они могут быть приняты судом?,"Обеспечительные меры - это меры, направленные на обеспечение исполнения будущего судебного решения, которые могут быть приняты судом по заявлению лица, участвующего в деле, при наличии достаточных оснований полагать, что непринятие таких мер может затруднить или сделать невозможным исполнение судебного решения (статья 139 Гражданского процессуального кодекса Российской Федерации).
    
32."
Какие виды обеспечительных мер может принять суд?,"Суд может принять такие обеспечительные меры, как наложение ареста на имущество ответчика, запрещение ответчику совершать определенные действия, запрещение другим лицам совершать определенные действия, касающиеся предмета спора, и другие меры, предусмотренные законом (статья 140 Гражданского процессуального кодекса Российской Федерации).
    
33."
Что такое встречный иск и в каком порядке он предъявляется?,"Ответчик вправе до принятия судом первой инстанции судебного постановления предъявить к истцу встречный иск для совместного рассмотрения с первоначальным иском (статья 137 Гражданского процессуального кодекса Российской Федерации).
    
34."
Что такое третейский суд и каковы особенности рассмотрения дел в третейском суде?,"Третейский суд - это негосударственный орган, создаваемый по соглашению сторон для разрешения возникшего между ними спора. Порядок рассмотрения дел в третейском суде определяется федеральным законом о третейских судах (Федеральный закон от 29 декабря 2015 г. N 382-ФЗ).
    
35."
Что такое упрощенное производство и в каких случаях оно применяется?,"Упрощенное производство применяется по делам незначительной сложности, перечень которых установлен статьей 227 Гражданского процессуального кодекса Российской Федерации.
    
36."
Какие сроки рассмотрения дел установлены в порядке упрощенного7 производства?,"Дела в порядке упрощенного производства рассматриваются судом в течение двух месяцев со дня поступления искового заявления в суд (статья 232.3 Гражданского процессуального кодекса Российской Федерации).
    
37."
Что такое судебные извещения и повестки и каким образом они направляются участникам процесса?,"Судебные извещения и повестки направляются участникам процесса судом по почте заказным письмом с уведомлением о вручении или иным способом, обеспечивающим фиксирование их получения адресатом (статья 113 Гражданского процессуального кодекса Российской Федерации).
    
38."
"Что делать, если я не получил судебную повестку, но узнал о судебном заседании?","В случае ненадлежащего извещения о времени и месте судебного заседания необходимо обратиться в суд с ходатайством об отложении судебного разбирательства (статья 167 Гражданского процессуального кодекса Российской Федерации).
    
39."
Что такое судебные расходы и кто их несет?,"Судебные расходы состоят из государственной пошлины и издержек, связанных с рассмотрением дела. Судебные расходы, понесенные сторонами, в пользу которой вынесено решение суда, взыскиваются судом с другой стороны (статья 88 и статья 98 Гражданского процессуального кодекса Российской Федерации).
    
40."
"Какие виды издержек, связанных с рассмотрением дела, подлежат возмещению?","К издержкам, связанным с рассмотрением дела, относятся, в частности, суммы, подлежащие выплате свидетелям, экспертам, специалистам и переводчикам, расходы на проезд и проживание сторон и третьих лиц, понесенные ими в связи с явкой в суд, расходы на оплату услуг представителей, расходы на производство осмотра доказательств на месте, расходы на почтовые отправления, понесенные сторонами, и другие признанные судом необходимыми расходы (статья 94 Гражданского процессуального кодекса Российской Федерации).
    
41."
Что такое процессуальные сроки и каковы последствия их пропуска?,"Процессуальные сроки устанавливаются законом или судом для совершения процессуальных действий. Пропуск процессуальных сроков может повлечь за собой утрату права на совершение соответствующего процессуального действия (статья 107 Гражданского процессуального кодекса Российской Федерации).
    
42."
В каком порядке восстанавливаются пропущенные процессуальные сроки?,"Пропущенный по уважительной причине процессуальный срок может быть восстановлен судом по заявлению заинтересованного лица (статья 112 Гражданского процессуального кодекса Российской Федерации).
    
43."
Что такое обеспечительный арест имущества и как он налагается?,"Обеспечительный арест имущества налагается8 судом в качестве обеспечительной меры по заявлению лица, участвующего в деле, в порядке, установленном статьей 140 Гражданского процессуального кодекса Российской Федерации.9
    
44."
Что такое частная жалоба и в каком порядке она подается?,"Частная жалоба подается на определения суда первой инстанции, которыми не заканчивается производство по делу, в суд апелляционной инстанции в течение пятнадцати дней со дня вынесения определения (статья 331 Гражданского процессуального кодекса Российской Федерации).
    
45."
Что такое кассационная жалоба и в чем ее отличие от апелляционной жалобы?,"Кассационная жалоба подается на вступившие в законную силу судебные постановления в суд кассационной инстанции. Апелляционная жалоба подается на не вступившие в законную силу решения суда первой инстанции (статья 376 и статья 320 Гражданского процессуального кодекса Российской Федерации).
    
46."
Что такое судебный запрос и в каких случаях он направляется?,"Судебный запрос направляется судом в случаях, когда для рассмотрения дела необходимо получение сведений или документов от государственных органов, организаций или должностных лиц, которые не могут быть представлены сторонами самостоятельно (статья 57 Гражданского процессуального кодекса Российской Федерации).
    
47."
Что такое судебное поручение и в каких случаях оно направляется?,"Судебное поручение направляется судом, рассматривающим дело, другому суду для совершения отдельных процессуальных действий, например, для допроса свидетеля, находящегося в другом городе (статья 62 Гражданского процессуального кодекса Российской Федерации).
    
48."
Что такое участие прокурора в гражданском процессе и в каких случаях оно обязательно?,"Прокурор вступает в гражданский процесс и дает заключение по делам, предусмотренным законом, а также вправе обратиться в суд с заявлением в защиту прав, свобод и законных интересов граждан, неопределенного круга лиц или интересов Российской Федерации, субъектов Российской Федерации, муниципальных образований (статья 45 Гражданского процессуального кодекса Российской Федерации). Участие прокурора обязательно по делам о выселении, о восстановлении на работе, о возмещении вреда, причиненного жизни или здоровью, и в других случаях, установленных федеральным законом.
    
49."
Что такое участие органов государственной власти и органов местного самоуправления в гражданском процессе?,"В случаях, предусмотренных федеральным законом, органы государственной власти и органы местного самоуправления могут выступать в суде в качестве истцов или ответчиков, а также могут быть привлечены к участию в деле для дачи заключения по делу (статья 46 и статья 47 Гражданского процессуального кодекса Российской Федерации).
    
50."
"Что такое мировое соглашение, заключенное сторонами без обращения в суд, и как его можно утвердить в судебном порядке?","Мировое соглашение, заключенное сторонами без обращения в суд, может быть представлено в суд для его утверждения в порядке, установленном статьей 173 Гражданского процессуального кодекса Российской Федерации. После утверждения судом мировое соглашение приобретает силу судебного решения.10
    
51."
Как подать на развод через суд и какие документы для этого потребуются?,"В соответствии со статьей 21 Семейного кодекса Российской Федерации и статьями 131-132 Гражданского процессуального кодекса Российской Федерации, иск о расторжении брака подается в суд в письменной форме с приложением свидетельства о браке, свидетельств о рождении детей (при наличии) и других необходимых документов.
    
52."
В какой суд подается иск о разделе имущества после развода?,"Согласно статье 28 Гражданского процессуального кодекса Российской Федерации, иск о разделе совместно нажитого имущества, если цена иска не превышает пятидесяти тысяч рублей, подается мировому судье, а если превышает – в районный суд по месту жительства ответчика.
    
53."
Как взыскать алименты на ребенка через суд?,"В соответствии со статьей 80 Семейного кодекса Российской Федерации и статьей 29 Гражданского процессуального кодекса Российской Федерации, иск о взыскании алиментов подается в суд по месту жительства истца или ответчика.
    
54."
"Что делать, если ответчик по делу скрывается и его местонахождение неизвестно?","Согласно статье 50 Гражданского процессуального кодекса Российской Федерации, в случае неизвестности места пребывания ответчика суд назначает адвоката в качестве его представителя.
    
55."
Могу ли я изменить свои исковые требования в ходе судебного разбирательства?,"В соответствии со статьей 39 Гражданского процессуального кодекса Российской Федерации, истец вправе изменить основание или предмет иска, увеличить или уменьшить размер исковых требований до принятия судом решения.
    
56."
Что такое предварительное судебное заседание и для чего оно проводится?,"Предварительное судебное заседание проводится судьей с целью подготовки дела к судебному разбирательству, определения круга обстоятельств, имеющих значение для дела, определения доказательств, которые необходимо представить, и разрешения вопроса о возможности мирного урегулирования спора (статья 152 Гражданского процессуального кодекса Российской Федерации).
    
57."
Как заявить ходатайство в суде и в какой форме это делается?,"Ходатайства подаются в суд в письменной или устной форме. Устные ходатайства заносятся в протокол судебного заседания (статья 166 Гражданского процессуального кодекса Российской Федерации).
    
58."
"Что делать, если суд отказал в удовлетворении моего ходатайства?","Отказ суда в удовлетворении ходатайства может быть обжалован вместе с обжалованием судебного решения по делу в целом, если иное не предусмотрено Гражданским процессуальным кодексом Российской Федерации.
    
59."
Могу ли я ознакомиться с материалами дела в суде?,"В соответствии со статьей 35 Гражданского процессуального кодекса Российской Федерации, лица, участвующие в деле, имеют право знакомиться с материалами дела, делать выписки из них и снимать копии.
    
60."
"Что делать, если я обнаружил ошибку в протоколе судебного заседания?","В соответствии со статьей 231 Гражданского процессуального кодекса Российской Федерации, лица, участвующие в деле, вправе подать письменные1 замечания на протокол судебного заседания в течение пяти дней со дня его подписания.
    
61."
Как получить копию решения суда после его вынесения?,"Копия решения суда выдается лицам, участвующим в деле, под расписку или направляется им по почте заказным письмом с уведомлением о вручении в течение пяти дней со дня принятия решения в окончательной форме (статья 214 Гражданского процессуального кодекса Российской Федерации).
    
62."
"Что делать, если я пропустил срок подачи апелляционной жалобы по уважительной причине?","В соответствии со статьей 112 Гражданского процессуального кодекса Российской Федерации, пропущенный по уважительной причине срок может быть восстановлен судом апелляционной инстанции по заявлению заинтересованного лица.
    
63."
Каковы основания для отмены или изменения решения суда в апелляционном порядке?,"Основаниями для отмены или изменения решения суда первой инстанции в апелляционном порядке являются неправильное определение обстоятельств, имеющих значение для дела, недоказанность установленных судом первой инстанции обстоятельств, имеющих значение для дела, несоответствие выводов суда первой инстанции, изложенных в решении суда, обстоятельствам дела, нарушение или неправильное применение норм материального права или норм процессуального2 права (статья 330 Гражданского процессуального кодекса Российской Федерации).
    
64."
Что такое частная жалоба на определение суда и в какой срок она подается?,"Частная жалоба подается на определения суда первой инстанции, которыми не заканчивается производство по делу, в суд апелляционной инстанции в течение пятнадцати дней со дня вынесения определения (статья 331 Гражданского процессуального кодекса Российской Федерации).
    
65."
В какой суд подается кассационная жалоба на судебные акты?,"Кассационная жалоба подается через суд первой инстанции, вынесший решение, который обязан направить ее вместе с делом в суд кассационной инстанции, уполномоченный рассматривать данную жалобу (статья 377 Гражданского процессуального кодекса Российской Федерации).
    
66."
Каковы основания для отмены или изменения судебных постановлений в кассационном порядке?,"Основаниями для отмены или изменения судебных постановлений в кассационном порядке являются существенные нарушения норм материального права или норм процессуального права, которые повлияли на исход дела и без устранения которых невозможны восстановление и защита нарушенных прав, свобод и законных интересов, а также защита охраняемых законом публичных интересов (статья 379.7 Гражданского процессуального3 кодекса Российской Федерации).
    
67."
"Что делать, если решение суда первой инстанции уже вступило в законную силу, но я считаю его неправильным?","Вступившее в законную силу решение суда может быть обжаловано в суд кассационной инстанции в порядке,4 установленном главой 41 Гражданского процессуального кодекса Российской5 Федерации (если не был пропущен срок на кассационное обжалование), а также в порядке надзора в Президиум Верховного Суда Российской Федерации (статья 376 и статья 390.2 Гражданского процессуального кодекса Российской Федерации).
    
68."
Что такое пересмотр судебных постановлений по вновь открывшимся или новым обстоятельствам?,"Пересмотр судебных постановлений по вновь открывшимся или новым обстоятельствам осуществляется в случаях, предусмотренных статьей 392 Гражданского процессуального кодекса Российской Федерации, например, при обнаружении обстоятельств, которые не были и не могли быть известны заявителю на момент рассмотрения дела.
    
69."
В какой срок можно подать заявление о пересмотре судебного постановления по вновь открывшимся или новым обстоятельствам?,"Заявление о пересмотре судебного постановления по вновь открывшимся или новым обстоятельствам подается в течение трех месяцев со дня установления оснований для пересмотра (статья 393 Гражданского процессуального кодекса Российской Федерации).
    
70."
"Что делать, если я являюсь ответчиком по иску и не согласен с требованиями истца?","В соответствии со статьей 1496 Гражданского процессуального кодекса Российской Федерации, ответчик вправе представить суду свои возражения относительно иска, а также предъявить встречный иск.
    
71."
Как оформить доверенность на представителя в суде?,"Доверенность на представителя в суде должна быть совершена в письменной форме, удостоверена нотариально или в ином порядке, предусмотренном законом (статья 53 Гражданского процессуального кодекса Российской Федерации).
    
72."
"Может ли в качестве моего представителя в суде выступать близкий родственник, не имеющий юридического образования?","В качестве представителя в суде могут выступать дееспособные лица, имеющие надлежащим образом оформленные полномочия. Для представления интересов в судах общей юрисдикции первой и апелляционной инстанций наличие высшего юридического образования у представителя, не являющегося адвокатом или законным представителем, не является обязательным, за исключением случаев, установленных законом (статья 49 Гражданского процессуального кодекса Российской Федерации).
    
73."
