Вопрос,Ответ
Какие права имеет собственник квартиры в многоквартирном доме?,"В соответствии со статьей 30 Жилищного кодекса Российской Федерации, собственник жилого помещения вправе владеть, пользоваться и распоряжаться им в соответствии с его назначением и пределами его использования, которые установлены настоящим Кодексом.
    
2."
Какие обязанности несет собственник квартиры в многоквартирном доме?,"Согласно статье 30 Жилищного кодекса Российской Федерации, собственник жилого помещения обязан поддерживать данное помещение в надлежащем состоянии, нести бремя содержания общего имущества собственников помещений в многоквартирном доме и своевременно уплачивать взносы на капитальный ремонт общего имущества.
    
3."
Что относится к общему имуществу собственников помещений в многоквартирном доме?,"В соответствии со статьей 36 Жилищного кодекса Российской Федерации, к общему имуществу относятся, в частности, межквартирные лестничные площадки, лестницы, лифты, лифтовые и иные шахты, коридоры, технические этажи, чердаки, подвалы, в которых имеются инженерные коммуникации, крыши, ограждающие несущие и ненесущие конструкции дома, механическое, электрическое, санитарно-техническое и иное оборудование, находящееся в многоквартирном доме за пределами или внутри помещений и обслуживающее более одного помещения.
    
4."
Как начисляются и оплачиваются коммунальные услуги в многоквартирном доме?,"Порядок начисления и оплаты коммунальных услуг регулируется разделом VII Жилищного кодекса Российской Федерации (статьи 153-169) и Правилами предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домов, утвержденными Правительством Российской Федерации.
    
5."
"Что делать, если качество предоставляемых коммунальных услуг не соответствует установленным требованиям?","В случае предоставления коммунальных услуг ненадлежащего качества потребитель вправе обратиться1 в управляющую организацию, товарищество собственников жилья либо непосредственно к ресурсоснабжающей организации с требованием об устранении недостатков и перерасчете платы за коммунальные услуги в соответствии со статьей 157 Жилищного кодекса Российской Федерации.
    
6."
Как создается и работает товарищество собственников жилья (ТСЖ)?,"Порядок создания и деятельности ТСЖ регулируется главой 6 Жилищного кодекса Российской Федерации (статьи 135-152). ТСЖ является некоммерческой организацией, объединяющей собственников2 помещений в многоквартирном доме для совместного управления общим имуществом.
    
7."
Какие вопросы решаются на общем3 собрании собственников помещений в многоквартирном доме?,"Перечень вопросов, относящихся4 к компетенции общего собрания собственников помещений, установлен статьей 44 Жилищного кодекса Российской Федерации, включая вопросы о ремонте общего имущества, выборе способа управления многоквартирным домом, установлении размера взносов на содержание и ремонт.
    
8."
Как проводятся общие собрания собственников помещений в многоквартирном доме?,"Порядок проведения общего собрания собственников5 помещений регулируется статьями 45-48 Жилищного кодекса Российской Федерации, включая требования к уведомлению собственников, кворуму и порядку голосования.
    
9."
"Что делать, если управляющая компания ненадлежащим образом исполняет свои обязанности по управлению многоквартирным домом?","В случае ненадлежащего исполнения управляющей компанией своих обязанностей собственники помещений вправе обратиться в органы государственного жилищного надзора, а также расторгнуть договор управления многоквартирным домом на общем собрании в соответствии со статьей 162 Жилищного кодекса Российской Федерации.
    
10."
Как формируется фонд капитального ремонта многоквартирного дома и на что расходуются средства?,"Порядок формирования фонда капитального ремонта регулируется главой 9 Жилищного кодекса Российской Федерации6 (статьи 170-191). Средства фонда могут расходоваться на проведение капитального ремонта общего имущества в многоквартирном доме.
    
11."
