Вопрос,Ответ
Какие формы собственности на землю существуют в Российской Федерации?,"В соответствии со статьей 15 Земельного кодекса Российской Федерации, в Российской Федерации устанавливаются следующие формы собственности на землю: частная собственность, государственная собственность (федеральная собственность и собственность субъектов Российской Федерации) и муниципальная собственность.
    
2."
Какие права имеет собственник земельного участка?,"Согласно статье 40 Земельного кодекса Российской Федерации, собственник земельного участка имеет право владеть, пользоваться и распоряжаться им в пределах, установленных законом.
    
3."
Какие обязанности несет собственник земельного участка?,"В соответствии со статьей 42 Земельного кодекса Российской Федерации, собственники земельных участков обязаны использовать земельные участки в соответствии с их целевым назначением и разрешенным использованием, не наносить вред окружающей среде и здоровью человека, соблюдать градостроительные регламенты, требования пожарной безопасности, санитарно-гигиенические, экологические и иные предусмотренные законодательством требования.
    
4."
Что такое целевое назначение и разрешенное использование земельного участка?,"Целевое назначение земель определяется исходя из их принадлежности к определенной категории, а разрешенное использование земельных участков определяется в соответствии с градостроительным регламентом, правилами землепользования и застройки и целевым назначением земель (статья 7 Земельного кодекса Российской Федерации).
    
5."
Какие категории земель существуют в Российской Федерации?,"В соответствии со статьей 7 Земельного кодекса Российской Федерации, земли в Российской Федерации по целевому назначению подразделяются на следующие категории: земли сельскохозяйственного назначения; земли населенных пунктов; земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения; земли особо охраняемых территорий1 и объектов; земли лесного фонда; земли водного фонда; земли запаса.
    
6."
Как изменить вид разрешенного использования земельного участка?,"Изменение вида разрешенного использования земельного участка осуществляется в соответствии с градостроительным регламентом при условии соблюдения требований законодательства (статья 37 Градостроительного кодекса Российской Федерации).
    
7."
Что такое публичный сервитут на земельный участок и в каких случаях он устанавливается?,"Публичный сервитут устанавливается законом или иным нормативным правовым актом Российской Федерации, нормативным правовым актом субъекта Российской Федерации, нормативным правовым актом органа местного самоуправления в случаях, если это необходимо для обеспечения интересов государства, местного самоуправления или местного населения, без изъятия земельных участков (статья 23 Земельного кодекса2 Российской Федерации).
    
8."
Какие ограничения прав на землю могут устанавливаться?,"Права на землю могут быть ограничены по основаниям, установленным Земельным кодексом Российской Федерации, федеральными законами. Ограничения прав на землю подлежат государственной регистрации в порядке, установленном Федеральным законом ""О государственной регистрации недвижимости""3 (статья 56 Земельного кодекса Российской Федерации).
    
9."
Что такое земельный участок общего пользования?,"Земельными участками общего пользования являются земельные участки, занятые площадями, улицами, проездами, автомобильными дорогами, набережными, скверами, бульварами, водными объектами, пляжами и другими объектами, которые могут свободно использоваться неограниченным кругом лиц (пункт 12 статьи 1 Градостроительного кодекса Российской Федерации, применяется по аналогии).
    
10."
Как оформить право собственности на земельный участок?,"Право собственности на земельный участок подлежит государственной регистрации в Едином государственном реестре недвижимости в соответствии с Федеральным законом ""О государственной регистрации недвижимости"" (статья 131 Гражданского4 кодекса Российской Федерации, применяется по аналогии).
    
11."
