Вопрос,Ответ
Когда я должен заплатить налог на доходы со своей зарплаты?,"Налог на доходы физических лиц (НДФЛ) с вашей заработной платы обычно удерживает и перечисляет в бюджет ваш работодатель при каждой выплате зарплаты (статья 226 Налогового кодекса РФ).
    
102."
"Что мне делать, если я продал квартиру в этом году, нужно ли платить какой-то налог?","Да, при продаже квартиры может возникнуть обязанность по уплате НДФЛ. Однако, если вы владели квартирой определенное время (обычно 5 лет, в некоторых случаях 3 года), или если сумма продажи меньше определенного порога, вы можете быть освобождены от уплаты налога или иметь право на налоговый вычет (статья 220 Налогового кодекса РФ).
    
103."
"У меня есть машина, какой налог я должен за нее платить и когда?","За автомобиль вы должны платить транспортный налог. Сроки и порядок уплаты устанавливаются региональными властями (статья 356 и глава 28 Налогового кодекса РФ). Обычно уведомление об уплате приходит по почте или через личный кабинет налогоплательщика.
    
104."
"Я работаю как самозанятый, какие налоги я должен платить?","Самозанятые граждане платят налог на профессиональный доход (НПД) по льготным ставкам. Регистрация и уплата налога происходят через специальное мобильное приложение ""Мой налог"" (статья 4 Федерального закона от 27.11.2018 N 422-ФЗ, который регулирует НПД).
    
105."
"Могу ли я как-то уменьшить сумму налога, которую я плачу? Например, если я потратил деньги на лечение?","Да, Налоговый кодекс предусматривает различные налоговые вычеты, которые могут уменьшить ваш налогооблагаемый доход, например, социальные налоговые вычеты на лечение, обучение, покупку лекарств и другие (статья 219 Налогового кодекса РФ).
    
106."
Что такое ИНН и зачем он нужен?,"ИНН (идентификационный номер налогоплательщика) - это ваш персональный номер в налоговой системе. Он необходим для учета ваших доходов и уплаченных налогов, а также для взаимодействия с налоговыми органами (статья 84 Налогового кодекса РФ).
    
107."
"Что будет, если я вовремя не заплачу налог?","За несвоевременную уплату налога начисляются пени за каждый день просрочки. Также могут быть применены штрафные санкции (статья 75 и статья 122 Налогового кодекса РФ).
    
108."
"Как узнать, какие налоги я должен платить?","Информацию о действующих налогах и сборах, а также о порядке их уплаты можно получить на официальном сайте Федеральной налоговой службы (nalog.gov.ru) или обратившись в налоговую инспекцию по месту жительства (статья 21 Налогового кодекса РФ).
    
109."
"Я получил в подарок от родственника крупную сумму денег, нужно ли мне платить с этого какой-то налог?","Доходы, полученные в порядке дарения от близких родственников (супругов, родителей, детей, бабушек, дедушек, внуков, братьев и сестер), налогом на доходы физических лиц не облагаются (статья 217 Налогового кодекса РФ).
    
110."
"Что такое НДС, и кто его платит?","НДС (налог на добавленную стоимость) - это федеральный налог, который включается в стоимость большинства товаров и услуг. Его уплачивают организации и индивидуальные предприниматели при реализации товаров, работ, услуг (статья 143 Налогового кодекса РФ).
    
111."
"У меня есть земельный участок, какой налог я должен платить за него?","За земельный участок необходимо уплачивать земельный налог, который является местным налогом. Ставки и порядок уплаты устанавливаются органами местного самоуправления (статья 387 и глава 31 Налогового кодекса РФ).
    
112."
"Я открываю свой небольшой интернет-магазин, какую систему налогообложения мне лучше выбрать?","Для малого бизнеса существуют специальные налоговые режимы, такие как упрощенная система налогообложения (УСН) или патентная система налогообложения (ПСН). Выбор зависит от вида деятельности, размера доходов и других факторов. Рекомендуется проконсультироваться с налоговым специалистом (глава 26.2 и глава 26.5 Налогового кодекса РФ).
    
113."
"Что делать, если я ошибся в налоговой декларации?","Если вы обнаружили ошибку в уже поданной налоговой декларации, вам необходимо подать уточненную налоговую декларацию (статья 81 Налогового кодекса РФ).
    
114."
Как я могу узнать о своих долгах по налогам?,"Информацию о своей задолженности по налогам можно получить в личном кабинете налогоплательщика на сайте ФНС России (nalog.gov.ru) или через портал Госуслуг.
    
115."
"Мне пришло письмо из налоговой инспекции, что мне делать?","Внимательно прочитайте письмо. Возможно, вам необходимо предоставить какие-либо документы или дать пояснения. Если вы не уверены, как реагировать, обратитесь за консультацией в налоговую инспекцию или к налоговому специалисту.
    
116."
Что такое налоговый вычет при покупке жилья?,"При покупке квартиры или дома вы имеете право на имущественный налоговый вычет, который позволяет вернуть часть уплаченного подоходного налога (статья 220 Налогового кодекса РФ).
    
117."
Как получить налоговый вычет за обучение ребенка?,"Для получения социального налогового вычета за обучение ребенка необходимо подать в налоговую инспекцию декларацию по форме 3-НДФЛ и приложить подтверждающие документы (договор с учебным заведением, чеки об оплате) (статья 219 Налогового кодекса РФ).
    
118."
Что такое акцизы? На какие товары они обычно устанавливаются?,"Акцизы - это федеральные налоги, устанавливаемые на отдельные виды подакцизных товаров, такие как алкогольная продукция, табачные изделия, нефтепродукты, автомобили (статья 179 Налогового кодекса РФ).
    
119."
Что такое государственная пошлина? За какие услуги ее нужно платить?,"Государственная пошлина - это сбор, взимаемый за совершение юридически значимых действий государственными органами, например, за регистрацию брака, выдачу паспорта, регистрацию прав на недвижимость (статья 333.16 Налогового кодекса РФ).
    
120."
"Я являюсь пенсионером, должен ли я платить налог на имущество?","Пенсионеры имеют право на налоговую льготу по налогу на имущество физических лиц в отношении одного объекта каждого вида, не используемого в предпринимательской деятельности (статья 407 Налогового кодекса РФ).
    
121."
Что такое налоговая база по налогу на доходы физических лиц?,"Налоговая база по НДФЛ - это денежное выражение доходов, подлежащих налогообложению, уменьшенных на сумму налоговых вычетов (статья 210 Налогового кодекса РФ).
    
122."
Какие бывают налоговые ставки по налогу на доходы физических лиц?,"Основная ставка НДФЛ составляет 13%. Для некоторых видов доходов могут применяться другие ставки, например, 15% для доходов, превышающих определенную сумму (статья 224 Налогового кодекса РФ).
    
123."
Что такое декларация 3-НДФЛ и когда ее нужно подавать?,"Декларация по форме 3-НДФЛ используется для отчета о полученных доходах и заявления налоговых вычетов физическими лицами. Ее обычно подают до 30 апреля года, следующего за отчетным (статья 229 Налогового кодекса РФ).
    
124."
Могу ли я заплатить налоги онлайн?,"Да, уплатить налоги можно онлайн через личный кабинет налогоплательщика на сайте ФНС России, через портал Госуслуг или через мобильные приложения банков.
    
125."
