Вопрос,Ответ
Обязательно ли заключать трудовой договор в письменной форме?,"Да, трудовой договор заключается в письменной форме (статья 67 Трудового кодекса РФ).

2."
Какие обязательные сведения должны быть указаны в моем трудовом договоре?,"В трудовом договоре обязательно указываются: фамилия, имя, отчество работника и наименование работодателя; сведения о документах, удостоверяющих личность работника и работодателя; ИНН работодателя; место работы; трудовая функция; дата начала работы; условия оплаты труда; режим рабочего времени и времени отдыха; гарантии и компенсации за работу с вредными и (или) опасными условиями труда (если есть); условия, определяющие в необходимых случаях характер работы (подвижной, разъездной, в пути, другой); условия труда на рабочем месте; условие об обязательном социальном страховании работника (статья 57 Трудового кодекса РФ).

3."
Могут ли меня принять на работу без оформления трудового договора?,"Нет, фактическое допущение работника к работе без ведома или поручения работодателя либо уполномоченного им на это лица запрещается. Трудовой договор должен быть оформлен не позднее трех рабочих дней со дня фактического допущения работника к работе (статья 67 Трудового кодекса РФ).

4."
Чем отличается срочный трудовой договор от бессрочного?,"Срочный трудовой договор заключается на определенный срок не более пяти лет, а бессрочный - на неопределенный срок (статья 58 Трудового кодекса РФ).

5."
В каких случаях со мной могут заключить срочный трудовой договор?,"Срочный трудовой договор может заключаться, например, для выполнения временных работ, на время отсутствия основного работника, для выполнения сезонных работ и в других случаях, предусмотренных статьей 59 Трудового кодекса РФ.

6."
Что такое испытательный срок и как долго он может длиться?,"Испытательный срок устанавливается при приеме на работу для проверки соответствия работника поручаемой ему работе. Общий срок испытания не может превышать трех месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей - шести месяцев (статья 70 Трудового кодекса РФ).

7."
Могут ли мне не платить зарплату во время испытательного срока?,"Нет, оплата труда работника в период испытательного срока должна производиться на общих основаниях (статья 70 Трудового кодекса РФ).

8."
"Могут ли меня уволить, если я не пройду испытательный срок?","Да, если работодатель сочтет, что работник не выдержал испытание, он имеет право расторгнуть с ним трудовой договор до истечения срока испытания, предупредив об этом работника в письменной форме не позднее чем за три дня (статья 71 Трудового кодекса РФ).

9."
Могут ли изменить условия моего трудового договора без моего согласия?,"Изменение определенных сторонами условий трудового договора допускается только по соглашению сторон, за исключением случаев, предусмотренных Трудовым кодексом РФ (статья 72 Трудового кодекса РФ).

10."
Что такое перевод на другую работу?,"Перевод на другую работу - это постоянное или временное изменение трудовой функции работника и (или) структурного подразделения, в котором работник работает (если структурное подразделение указано в трудовом договоре), при продолжении работы у того же работодателя, а также перевод на работу в другую местность вместе с работодателем (статья 72.1 Трудового кодекса РФ).

11."
Сколько часов в неделю я должен работать по трудовому договору?,"Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю (статья 91 Трудового кодекса РФ).

12."
